name,Nationality,Current status,Gender,Build,First appeared,Last appeared,Affiliation,Title,Rank,Date of death,First mentioned,Last mentioned,Date of birth,Eyes,Ajah,Hair,Height,Occupation,Clan,Sept,Society,Weight,Race,Hair color,Eye color
Mistress al'Taron,Andoran,Alive,Female,NA,NA,NA,Two Rivers,NA,NA,NA,TSR 43,TSR 43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Joiya al'Thor,Andoran,Foreseen,Female,NA,TDR 22,TDR 22,Two Rivers,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kari al'Thor,Andoran,Dead,Female,NA,NA,NA,Two Rivers,NA,NA,984 NE,TEOTW 6,LOC 16,NA,Gray,NA,Red,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alene al'Vere,Andoran,Alive,Female,NA,NA,NA,Two Rivers,NA,NA,NA,TEOTW Ravens,WH 26,969 NE,NA,NA,Braided,NA,NA,NA,NA,NA,NA,NA,NA,NA
Berowyn al'Vere,Andoran,Alive,Female,NA,NA,NA,Two Rivers,NA,NA,NA,TEOTW Ravens,WH 26,965 NE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Egwene al'Vere,Andoran,Dead,Female,Slender,TEOTW Ravens,AMOL 37,White Tower,Amyrlin Seat,Aes Sedai,1000 NE,NA,AMOL Epilogue,981 NE,Brown,No Ajah,Brown,"5'3"" or 160 cm",NA,NA,NA,NA,NA,NA,NA,NA
Elisa al'Vere,Andoran,Alive,Female,NA,TEOTW Ravens,TEOTW Ravens,Two Rivers,NA,NA,NA,NA,WH 26,972 NE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Loise al'Vere,Andoran,Alive,Female,NA,TEOTW Ravens,TEOTW Ravens,Two Rivers,NA,NA,NA,NA,WH 26,975 NE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Marin al'Vere,Andoran,Alive,Female,NA,TEOTW 2,TSR 56,Two Rivers,Women's Circle Member,NA,NA,TEOTW 1,AMOL 1,940 NE,NA,NA,Graying,"5'4""",Innkeeper,NA,NA,NA,Slender,NA,NA,NA
Ala,NA,Dead,Female,NA,NA,NA,NA,NA,NA,NA,TSR 43,TSR 43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ogier,NA,NA
Alainia,Amadician,Alive,Female,Plump,KOD 28,KOD 28,Faile Bashere,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Silversmith,NA,NA,NA,NA,NA,NA,NA
Alar,NA,Alive,Female,NA,TGH 36,LOC 20,NA,Eldest,Elder,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ogier,NA,NA
Alarys,Aiel,Alive,Female,NA,ACOS Prologue,COT 9,Sevanna,NA,NA,NA,NA,NA,NA,NA,NA,Dark,NA,Wise One,Shaido,Unknown sept,NA,NA,NA,NA,NA
Lacile Aldorwin,Cairhienin,Alive,Female,Slim,TPOD 8,TOM 30,Cha Faile,NA,NA,NA,NA,TOM 43,NA,NA,NA,NA,Short,NA,NA,NA,NA,NA,NA,NA,NA
Alida Aldragoran,Saldaean,Alive,Female,NA,NA,NA,NA,NA,NA,NA,KOD 20,KOD 20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sybaine Aldwyn,Far Madding,Alive,Female,NA,WH 24,WH 34,NA,NA,Counsel,NA,NA,NA,NA,NA,NA,Gray,NA,NA,NA,NA,NA,NA,NA,NA,NA
Teire Alentaine,Unknown nationality,Alive,Female,NA,NA,NA,White Tower,NA,Aes Sedai,NA,The Wheel of Time Companion,NA,NA,NA,Gray Ajah,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alesinde,Andoran,Dead,Female,NA,NA,NA,NA,Queen,Queen of Andor,FY 1035,LOC 26,LOC 26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alfara,Amadician,Alive,Female,Plump,TFOH 13,TFOH 13,NA,NA,NA,NA,NA,NA,NA,NA,NA,"gray, curly, long",NA,Innkeeper,NA,NA,NA,NA,NA,NA,NA
Marande Algoran,Amadician,Alive,Female,NA,LOC 9,LOC 9,NA,Lady,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Doniella Alievin,Cairhienin,Dead,Female,NA,NA,NA,NA,Amyrlin Seat,Aes Sedai,363 NE,TWORJTWOT,AMOL 37,NA,NA,Brown Ajah,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alis,Altaran,Alive,Female,NA,ACOS 28,NA,NA,NA,NA,NA,NA,ACOS 28,NA,NA,NA,NA,NA,Servant,NA,NA,NA,NA,NA,NA,NA
Alivia,Seanchan,Alive,Female,NA,WH 11,AMOL 42,Dragon Reborn,NA,NA,NA,TPOD 23,AMOL Epilogue,586 NE,Blue,NA,Golden yellow with threads of white,Short,NA,NA,NA,NA,NA,NA,NA,NA
Zarya Alkaese,Saldaea,Alive,Female,NA,ACOS 23,KOD 17,White Tower,NA,Novice,NA,NA,NA,NA,"Dark, tilted",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tamore Alkohima,Domani,Alive,Female,Full-figured,NS 13,NS 13,NA,NA,NA,NA,NA,NS 18,NA,NA,NA,NA,NA,Seamstress,NA,NA,NA,NA,NA,NA,NA
Bastine Almadar,Domani,Dead,Female,NA,NA,NA,Artur Hawkwing,Lady,NA,NA,The Wheel of Time Companion,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dumera Alman,Unknown nationality,Dead,Female,NA,NA,NA,NA,NA,Aes Sedai,NA,TWORJTWOT,TWORJTWOT,NA,NA,Unknown Ajah,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alnora,NA,Dead,Female,NA,TSR 26,TSR 26,NA,NA,NA,NA,NA,NA,NA,NA,NA,Glossy black,NA,NA,Da'shain Aiel,NA,NA,NA,NA,NA,NA
Desandre Alraed,Ghealdanin,Alive,Female,Willowy,WH Prologue,COT Prologue,White Tower,NA,Aes Sedai,NA,NS 4,NA,NA,NA,Yellow Ajah,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Katerine Alruddin,Unknown nationality,Dead,Female,NA,NS 4,TOM 38,Black Ajah,Mistress of Novices,Aes Sedai,1000 NE,NA,NA,950 NE,Hard,Red Ajah,"Dark, very long",NA,NA,NA,NA,NA,NA,NA,NA,NA
Alsera,Aiel,Alive,Female,NA,NA,NA,NA,NA,NA,NA,TSR 49,TSR 49,NA,NA,NA,NA,NA,Wise One,Nakai,Unknown sept,NA,NA,NA,NA,NA
Alstaing,Taraboner,Alive,Female,NA,KOD 11,KOD 11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Merchant,NA,NA,NA,NA,NA,NA,NA
Altalin,Amadician,Alive,Female,Plump,LOC 9,LOC 9,NA,Lady,NA,NA,NA,LOC 9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alteima,Tairen,Alive,Female,NA,TSR 21,TOM 5,NA,Lady,High Lady,NA,TSR 4,NA,NA,Large Brown,NA,Long (half way to her waist) Black,Tall,NA,NA,NA,NA,Slender,NA,NA,NA
Alvistere,Cairhienin,Alive,Female,Slim,KOD 24,KOD 24,White Tower,NA,Novice,NA,NA,NA,NA,NA,NA,"Long, dark",Short,NA,NA,NA,NA,NA,NA,NA,NA
Doesine Alwain,Cairhienin,Dead,Female,Slender,TPOD 26,AMOL 37,White Tower,NA,Aes Sedai,1000 NE,NA,NA,867 NE,NA,Yellow Ajah,NA,Average,Sitter,NA,NA,NA,NA,NA,NA,NA
Alwhin,Seanchan,Dead,Female,NA,TGH 40,TPOD 24,NA,NA,So'jhin,1000 NE,NA,KOD Prologue,NA,Blue,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alysa,Andoran,Alive,Female,NA,TOM 1,TOM 1,NA,NA,NA,NA,NA,NA,NA,NA,NA,Dark,NA,NA,NA,NA,NA,NA,NA,NA,NA
Amar,NA,Dead,Female,NA,NA,NA,NA,NA,NA,NA,LOC 54,LOC 54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ogier,NA,NA
Amaresu,Unknown nationality,Bound to the Wheel,Female,NA,TGH 47,TGH 47,Horn of Valere,NA,Hero of the Horn,NA,NA,AMOL 39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Amaryn,Aiel,Alive,Female,NA,NA,NA,NA,NA,NA,NA,LOC 33,LOC 33,NA,NA,NA,NA,NA,NA,Unknown clan,Unknown sept,Unknown society,NA,NA,NA,NA
Zemaille Amassa,Atha'an Miere,Alive,Female,Slim,NS 3,COT 21,White Tower,NA,Aes Sedai,NA,NA,NA,931 NE,NA,Brown Ajah,"Straight, black",Tall,Librarian,NA,NA,NA,NA,NA,NA,NA
Lemai Ambani,Unknown nationality,Alive,Female,NA,WH Prologue,COT Prologue,White Tower,NA,Aes Sedai,NA,NA,NA,NA,NA,Red Ajah,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Merana Ambrey,Andoran,Alive,Female,NA,LOC 43,KOD 21,Rebel Aes Sedai,NA,Aes Sedai,NA,LOC 36,NA,889 NE,NA,Gray Ajah,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Saraline Amerano,Unknown nationality,Dead,Female,NA,NA,NA,White Tower,NA,Aes Sedai,NA,TWORJTWOT,TWORJTWOT,NA,NA,Unknown Ajah,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Savion Amhara,Far Madding,Dead,Female,NA,NA,NA,Far Madding,NA,First Counsel,NA,WH 22,WH 22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Amylia,Unknown nationality,Alive,Female,NA,KOD 22,KOD 22,Unaligned sisters,NA,Aes Sedai,NA,COT 14,NA,NA,"Blue, startling",Brown Ajah,Pale,NA,NA,NA,NA,NA,NA,NA,NA,NA
Amys,Aiel,Alive,Female,Slim,TSR 11,AMOL 42,NA,NA,NA,NA,TDR 39,NA,NA,Blue,NA,Silvery-White,Tall,Wise One,Taardad,Nine Valleys,NA,NA,NA,NA,NA
Frielle Anan,Altaran,Alive,Female,NA,LOC 52,WH 19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Maid,NA,NA,NA,NA,NA,NA,NA
Leral Anan,Altaran,Alive,Female,NA,WH 19,WH 29,NA,NA,NA,NA,NA,WH 29,NA,NA,NA,NA,NA,Maid,NA,NA,NA,NA,NA,NA,NA
Marah Anan,Altaran,Alive,Female,NA,WH 19,WH 29,NA,NA,NA,NA,NA,WH 29,NA,NA,NA,NA,NA,Maid,NA,NA,NA,NA,NA,NA,NA
Setalle Anan,Borderlander,Alive,Female,NA,LOC 47,AMOL 34,NA,NA,NA,NA,NA,NA,902 NE,Hazel,NA,Graying,NA,Innkeeper,NA,NA,NA,NA,NA,NA,NA
Ananda,Unknown nationality,Dead,Female,Slender,TSR 1,TSR 1,White Tower,NA,Aes Sedai,999 NE,NA,NA,NA,NA,Yellow Ajah,"Black, Waist-length",NA,NA,NA,NA,NA,NA,NA,NA,NA
Anasai,Shienaran,Presumed dead,Female,NA,NA,NA,NA,NA,NA,NA,TEOTW 46,AMOL 7,NA,NA,NA,NA,NA,Poet,NA,NA,NA,NA,NA,NA,NA
Sashalle Anderly,Unknown nationality,Alive,Female,NA,COT Prologue,AMOL 42,The Dragon Reborn,NA,Aes Sedai,NA,WH 14,NA,816 NE,Blue,Red Ajah,Curly,NA,NA,NA,NA,NA,NA,NA,NA,NA
Andhilin,Aiel,Dead,Female,NA,NA,NA,Car'a'carn,NA,NA,NA,KOD 18,TGS 29,NA,NA,NA,NA,NA,NA,Goshien,Red Salt,Far Dareis Mai,NA,NA,NA,NA
Andil,Cairhienin,Alive,Female,NA,COT Prologue,COT Prologue,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Cook,NA,NA,NA,NA,NA,NA,NA
Rianna Andomeran,Kandori,Alive,Female,NA,TDR 51,AMOL 42,Black Ajah,NA,Aes Sedai,NA,TDR 25,AMOL 42,NA,NA,White Ajah,"Black, streak of white",NA,Dreadlord,NA,NA,NA,NA,NA,NA,NA
Mistress Andscale,Andoran,Alive,Female,NA,NA,NA,NA,NA,NA,NA,KOD 26,NA,NA,NA,NA,NA,NA,Banker,NA,NA,NA,NA,NA,NA,NA
Anemara,Unknown nationality,Alive,Female,Plump,KOD 2,KOD 2,White Tower,NA,Accepted,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mistress Anford,Andoran,Alive,Female,NA,KOD 17,KOD 32,Elayne Trakand,NA,NA,NA,NA,NA,NA,NA,NA,Graying,NA,Clerk,NA,NA,NA,NA,NA,NA,NA
Anghara,Unknown nationality,Dead,Female,NA,NA,NA,NA,Amyrlin Seat,NA,NA,ACOS 16,ACOS 16,NA,NA,Unknown Ajah,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Angharad Juerissen,Unknown nationality,Unknown,Female,NA,NA,NA,White Tower,Keeper of the Chronicles,Aes Sedai,NA,The Wheel of Time Companion,NA,NA,NA,Gray Ajah,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Angla,Unknown nationality,Alive,Female,NA,LOC 14,LOC 14,White Tower,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Clarine Anhill,Unknown nationality,Alive,Female,Plump,TFOH 17,KOD 25,Valan Luca,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Entertainer,NA,NA,NA,NA,NA,NA,NA
Anlee,Unknown nationality,Unknown,Female,NA,NS 11,NS 12,NA,NA,Aes Sedai,NA,NA,NA,NA,NA,Blue Ajah,Graying,NA,Sitter,NA,NA,NA,NA,NA,NA,NA
Annah,Unknown nationality,Dead,Female,NA,AMOL 27,AMOL 27,NA,NA,NA,1000 NE,NA,NA,NA,NA,NA,NA,NA,Soldier,NA,NA,NA,NA,NA,NA,NA
Gulaeve Annallin,Cairhienin,Alive,Female,NA,NA,NA,NA,Lady,NA,NA,The Wheel of Time Roleplaying Game,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fionnda Annariz,Tairen,Alive,Female,NA,LOC 19,COT Prologue,NA,High Lady of Tear,NA,NA,NA,NA,NA,Iron,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Karind Anshar,Andoran,Alive,Female,Blocky,TFOH 19,KOD 35,House Trakand,Lady,High Seat,NA,NA,NA,NA,NA,NA,Dark,NA,NA,NA,NA,NA,NA,NA,NA,NA
Meka Antos,Arad Doman,Alive,Female,NA,NA,NA,NA,Lady,NA,NA,The Wheel of Time Roleplaying Game,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anya,Kandor,Alive,Female,NA,NS 22,NS 26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Servant,NA,NA,NA,NA,NA,NA,NA
Aran'gar,Borderlander,Dead,Female,"Slender, Busty",LOC Prologue,TOM Prologue,NA,NA,Chosen,1000 NE,NA,AMOL 5,NA,Green,NA,"Black, glossy",NA,NA,NA,NA,NA,NA,NA,NA,NA
Balladare Arandaille,Unknown nationality,Dead,Female,NA,NA,NA,White Tower,Amyrlin Seat,Aes Sedai,142 NE,TWORJTWOT,TGS 16,NA,NA,Brown Ajah,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Naean Arawn,Andoran,Alive,Female,Slim,TFOH 19,TOM 50,Andor,Lady,High Seat,NA,NA,NA,NA,"Blue, big",NA,Gleaming dark,NA,NA,NA,NA,NA,NA,NA,NA,NA
Arebis,Unknown nationality,Alive,Female,NA,NA,NA,White Tower,NA,Aes Sedai,NA,KOD Prologue,KOD Prologue,NA,NA,Unknown Ajah,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Amellia Arene,Amadician,Alive,Female,NA,TFOH 18,TFOH 18,Darkfriend,NA,NA,NA,NA,TFOH 34,NA,NA,NA,Graying,NA,Merchant,NA,NA,NA,NA,NA,NA,NA
Cecilia Arens,Almoth Plain,Alive,Female,NA,NA,NA,NA,NA,NA,NA,The Wheel of Time Roleplaying Game,NA,NA,NA,NA,NA,NA,Wisdom,NA,NA,NA,NA,NA,NA,NA
Meilyn Arganya,Unknown nationality,Dead,Female,NA,NS 5,NS 8,White Tower,NA,Aes Sedai,979 NE,NS 3,NS 18,NA,Startling blue,White Ajah,Silver-gray,Tall,NA,NA,NA,NA,NA,NA,NA,NA
Lyrelle Arienwin,Cairhienin,Alive,Female,NA,TPOD 16,AMOL Epilogue,White Tower,NA,Aes Sedai,NA,NA,NA,833 NE,NA,Blue Ajah,NA,Average,Sitter,NA,NA,NA,NA,NA,NA,NA
Arlene,Andoran,Alive,Female,NA,COT 15,KOD 17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Maid,NA,NA,NA,NA,NA,NA,NA
Chilares Arman,Murandian,Alive,Female,Willowy,TPOD 1,TPOD 3,The Kin,NA,Elder,NA,NA,WH 11,NA,Doe,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Laigin Arnault,Tarabon,Dead,Female,NA,NA,NA,White Tower,NA,Aes Sedai,999 NE,TPOD 13,TPOD 13,NA,NA,Red Ajah,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rahema Arnon,Altaran,Alive,Female,NA,COT 26,COT 26,NA,NA,NA,NA,NA,NA,NA,Haggard,NA,NA,NA,Merchant,NA,NA,NA,NA,NA,NA,NA
Racelle Arovni,Kandori,Alive,Female,NA,NS 16,NS 16,NA,NA,NA,NA,NA,NA,NA,Dark,NA,Graying,Tall,Innkeeper,NA,NA,NA,NA,NA,NA,NA
Arrata,Seanchan,Alive,Female,Wiry,KOD 26,NA,Ever Victorious Army,NA,NA,NA,KOD Prologue,NA,NA,NA,NA,NA,NA,Soldier,NA,NA,NA,NA,NA,NA,NA
Edeyn ti Gemallen Arrel,Malkieri,Alive,Female,NA,NS 22,NS 26,NA,NA,NA,NA,NS 16,NS Epilogue,934 NE,"Large, dark",NA,Long black with touches of white,NA,NA,NA,NA,NA,NA,NA,NA,NA
Iselle Arrel,Malkieri,Dead,Female,NA,NS 25,NS 26,NA,NA,NA,979 NE,NS 22,NS Epilogue,NA,NA,NA,Very long and black,Tall,NA,NA,NA,NA,NA,NA,NA,NA
Catlynde Artein,Unknown nationality,Dead,Female,NA,NA,NA,NA,NA,Aes Sedai,NA,TWORJTWOT,TWORJTWOT,NA,NA,Unknown Ajah,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Deane Aryman,Shiotan,Dead,Female,NA,NA,NA,NA,Amyrlin Seat,Aes Sedai,FY 1084,TFOH 11,COT 30,FY 920,NA,Blue Ajah,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ashelin,Altara,Alive,Female,Plump,KOD 24,KOD 24,White Tower,NA,Novice,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mistress Asher,Unknown nationality,Alive,Female,NA,NS 17,NS 17,NA,NA,NA,NA,NA,NA,NA,NA,NA,Gray,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ashmanaille,Unknown nationality,Alive,Female,Lanky,LOC 14,AMOL 27,White Tower,NA,Aes Sedai,NA,NA,NA,902 NE,Brown,Gray Ajah,Dark,Tall,NA,NA,NA,NA,NA,NA,NA,NA
Iona Ashmar,Ghealdanin,Dead,Female,NA,NA,NA,NA,Lady,Lady,NA,RPG,RPG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Saerin Asnobar,Altaran,Alive,Female,NA,TPOD 26,AMOL Epilogue,White Tower,NA,Aes Sedai,NA,NA,NA,781 NE,NA,Brown Ajah,"Dark, Graying",NA,Sitter,NA,NA,NA,NA,NA,NA,NA
Asseil,Taraboner,Alive,Female,Slim,KOD 24,KOD 24,White Tower,NA,Accepted,NA,NA,NA,NA,Brown,NA,Pale,NA,NA,NA,NA,NA,NA,NA,NA,NA
Astara,Andoran,Dead,Female,NA,NA,NA,NA,Queen,Queen,NA,TWORJTWOT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Astrelle,Unknown nationality,Alive,Female,Plump,KOD Prologue,KOD Prologue,White Tower,NA,Aes Sedai,NA,NA,NA,NA,NA,White Ajah,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
