variable,value,name
Hair,"Long, Dark",Segan do Avharin a'Roos
Eyes,Dark,Segan do Avharin a'Roos
First appeared,TPOD 17,Segan do Avharin a'Roos
Last appeared,TPOD 18,Segan do Avharin a'Roos
Title,Lady,Segan do Avharin a'Roos
Nationality,Unknown nationality,Ellid Abareim
Date of death,979 NE,Ellid Abareim
Current status,Dead,Ellid Abareim
Gender,Female,Ellid Abareim
Height,Very tall,Ellid Abareim
Hair,"Waves, golden",Ellid Abareim
Eyes,"Large, sapphire colored",Ellid Abareim
First mentioned,NS 4,Ellid Abareim
First appeared,NS 8,Ellid Abareim
Last appeared,NS 8,Ellid Abareim
Last mentioned,NS 14,Ellid Abareim
Rank,Accepted,Ellid Abareim
Nationality,Mayener,Rubinde Acedone
Date of birth,853 NE,Rubinde Acedone
Current status,Alive,Rubinde Acedone
Gender,Female,Rubinde Acedone
Build,Sturdy,Rubinde Acedone
Hair,Very dark,Rubinde Acedone
Eyes,"Blue, like sapphires",Rubinde Acedone
First appeared,TPOD 25,Rubinde Acedone
Last appeared,AMOL Epilogue,Rubinde Acedone
Affiliation,White Tower,Rubinde Acedone
Occupation,Sitter,Rubinde Acedone
Rank,Aes Sedai,Rubinde Acedone
Ajah,Green Ajah,Rubinde Acedone
Nationality,Altaran,Adela
Current status,Alive,Adela
Gender,Female,Adela
Build,Lanky,Adela
First appeared,KOD 6,Adela
Last appeared,KOD 6,Adela
Occupation,Stableman,Adela
Nationality,Aiel,Adelin
Current status,Alive,Adelin
Gender,Female,Adelin
Hair,Yellow,Adelin
First appeared,TSR 37,Adelin
Last appeared,TFOH 44,Adelin
Affiliation,Car'a'carn,Adelin
Clan,Taardad,Adelin
Sept,Jindo,Adelin
Society,Far Dareis Mai,Adelin
Nationality,Unknown nationality,Adria
Current status,Alive,Adria
Gender,Female,Adria
Build,Slim,Adria
First appeared,WH 15,Adria
Last appeared,COT 2,Adria
Affiliation,Valan Luca,Adria
Occupation,Entertainer,Adria
Nationality,Unknown nationality,Adrielle
Current status,Alive,Adrielle
Gender,Female,Adrielle
Height,Tall,Adrielle
First appeared,KOD 27,Adrielle
Last appeared,KOD 27,Adrielle
Affiliation,Turning,Adrielle
Rank,Aes Sedai,Adrielle
Ajah,Gray Ajah,Adrielle
Nationality,Unknown nationality,Aelidas
Gender,Female,Aelidas
First mentioned,The Wheel of Time Roleplaying Game,Aelidas
Affiliation,White Tower,Aelidas
Rank,Aes Sedai,Aelidas
Ajah,Red Ajah,Aelidas
Nationality,Unknown nationality,Aelmara
Current status,Alive,Aelmara
Gender,Female,Aelmara
First appeared,KOD 23,Aelmara
Last appeared,KOD 23,Aelmara
Affiliation,Romanda Cassin,Aelmara
Occupation,Servant,Aelmara
Nationality,Aiel,Aeron
Current status,Alive,Aeron
Gender,Female,Aeron
Hair,Graying,Aeron
First appeared,TFOH 23,Aeron
Last appeared,TPOD Prologue,Aeron
Affiliation,Car'a'carn,Aeron
Occupation,Wise One,Aeron
Clan,Nakai,Aeron
Sept,Black Water,Aeron
Nationality,Unknown nationality,Afara
Current status,Unknown,Afara
Gender,Female,Afara
First mentioned,LOC 15,Afara
Last mentioned,LOC 15,Afara
Affiliation,White Tower,Afara
Rank,Aes Sedai,Afara
Ajah,Green Ajah,Afara
Nationality,Aiel,Agirin
Date of death,999 NE,Agirin
Current status,Dead,Agirin
Gender,Female,Agirin
First mentioned,ACOS 2,Agirin
Last mentioned,ACOS 2,Agirin
Affiliation,Car'a'carn,Agirin
Clan,Daryne,Agirin
Sept,Shelan,Agirin
Society,Far Dareis Mai,Agirin
Nationality,Andoran,Marisa Ahan
Current status,Alive,Marisa Ahan
Gender,Female,Marisa Ahan
First appeared,LOC 10,Marisa Ahan
Last appeared,LOC 11,Marisa Ahan
Last mentioned,TPOD 30,Marisa Ahan
Affiliation,White Tower,Marisa Ahan
Rank,Novice,Marisa Ahan
Nationality,Andoran,Mistress Ahan
Current status,Alive,Mistress Ahan
Gender,Female,Mistress Ahan
Hair,Black,Mistress Ahan
First appeared,TSR 43,Mistress Ahan
Last mentioned,TSR 43,Mistress Ahan
Affiliation,Two Rivers,Mistress Ahan
Nationality,Kandori,Aiko
Current status,Alive,Aiko
Gender,Female,Aiko
Build,Plump,Aiko
Hair,Gray,Aiko
First appeared,NS 24,Aiko
Last appeared,NS 24,Aiko
Occupation,Maid,Aiko
Nationality,Kandori,Lelaine Akashi
Current status,Alive,Lelaine Akashi
Gender,Female,Lelaine Akashi
Build,Slender,Lelaine Akashi
Eyes,"Dark, Penetrating",Lelaine Akashi
First appeared,NS 11,Lelaine Akashi
Last appeared,AMOL 37,Lelaine Akashi
Affiliation,White Tower,Lelaine Akashi
Occupation,Sitter,Lelaine Akashi
Title,First Selector,Lelaine Akashi
Rank,Aes Sedai,Lelaine Akashi
Ajah,Blue Ajah,Lelaine Akashi
Nationality,Andoran,Carlys Ankerin
Current status,Alive,Carlys Ankerin
Gender,Female,Carlys Ankerin
Hair,Gray,Carlys Ankerin
First appeared,LOC 1,Carlys Ankerin
Last appeared,LOC 2,Carlys Ankerin
Last mentioned,COT Prologue,Carlys Ankerin
Affiliation,House Marne,Carlys Ankerin
Nationality,Andoran,Milla al'Azar
Current status,Alive,Milla al'Azar
Gender,Female,Milla al'Azar
Hair,"Long, Braided",Milla al'Azar
First appeared,LOC Prologue,Milla al'Azar
Last appeared,LOC Prologue,Milla al'Azar
Affiliation,Two Rivers,Milla al'Azar
Occupation,Healer,Milla al'Azar
Title,Wisdom,Milla al'Azar
Nationality,Andor,Jerilin al'Caar
Current status,Alive,Jerilin al'Caar
Gender,Female,Jerilin al'Caar
Build,Skinny,Jerilin al'Caar
First appeared,LOC 10,Jerilin al'Caar
Last appeared,LOC 11,Jerilin al'Caar
Last mentioned,TPOD 30,Jerilin al'Caar
Affiliation,White Tower,Jerilin al'Caar
Rank,Novice,Jerilin al'Caar
Nationality,Andoran,Nela al'Caar
Current status,Alive,Nela al'Caar
Gender,Female,Nela al'Caar
Hair,"Gray, braided",Nela al'Caar
First mentioned,TGH 23,Nela al'Caar
First appeared,TSR 45,Nela al'Caar
Last appeared,TSR 45,Nela al'Caar
Affiliation,Two Rivers,Nela al'Caar
Nationality,Andoran,Mistress al'Donel
Current status,Alive,Mistress al'Donel
Gender,Female,Mistress al'Donel
First appeared,TEOTW 1,Mistress al'Donel
Last appeared,TEOTW 1,Mistress al'Donel
Last mentioned,TOM 20,Mistress al'Donel
Affiliation,Two Rivers,Mistress al'Donel
Nationality,Farashelle,Eleyan al'Landerin
Current status,Dead,Eleyan al'Landerin
Gender,Female,Eleyan al'Landerin
First mentioned,TGS 26,Eleyan al'Landerin
Last mentioned,TGS 26,Eleyan al'Landerin
Affiliation,White Tower,Eleyan al'Landerin
Rank,Aes Sedai,Eleyan al'Landerin
Ajah,Green Ajah,Eleyan al'Landerin
Nationality,Andoran,Elnore al'Meara
Current status,Dead,Elnore al'Meara
Gender,Female,Elnore al'Meara
Affiliation,Two Rivers,Elnore al'Meara
Occupation,Farmer,Elnore al'Meara
Title,Women's Circle Member,Elnore al'Meara
Nationality,Andoran,Nynaeve al'Meara
Date of birth,974 NE,Nynaeve al'Meara
Current status,Alive,Nynaeve al'Meara
Gender,Female,Nynaeve al'Meara
Height,"5'4"" or 163cm",Nynaeve al'Meara
Build,Slender,Nynaeve al'Meara
Hair,"Dark, formerly long and braided",Nynaeve al'Meara
Eyes,Deep Brown,Nynaeve al'Meara
First appeared,TEOTW Ravens,Nynaeve al'Meara
Last appeared,AMOL Epilogue,Nynaeve al'Meara
Title,Queen,Nynaeve al'Meara
Rank,Aes Sedai,Nynaeve al'Meara
Ajah,Yellow Ajah,Nynaeve al'Meara
Nationality,Andoran,Astelle al'Seen
Current status,Alive,Astelle al'Seen
Gender,Female,Astelle al'Seen
Hair,White,Astelle al'Seen
First appeared,TSR 32,Astelle al'Seen
Last appeared,TSR 32,Astelle al'Seen
Affiliation,Two Rivers,Astelle al'Seen
Nationality,Andoran,Elisa al'Seen
Current status,Alive,Elisa al'Seen
Gender,Female,Elisa al'Seen
Hair,Gray,Elisa al'Seen
First appeared,TSR 32,Elisa al'Seen
Last appeared,TSR 32,Elisa al'Seen
Affiliation,Two Rivers,Elisa al'Seen
Nationality,Andoran,Susa al'Seen
Current status,Alive,Susa al'Seen
Gender,Female,Susa al'Seen
Build,Slight,Susa al'Seen
First appeared,LOC 10,Susa al'Seen
Last appeared,LOC 11,Susa al'Seen
Last mentioned,TPOD 30,Susa al'Seen
Affiliation,White Tower,Susa al'Seen
Rank,Novice,Susa al'Seen
Nationality,Andoran,Mistress al'Taron
Current status,Alive,Mistress al'Taron
Gender,Female,Mistress al'Taron
First mentioned,TSR 43,Mistress al'Taron
Last mentioned,TSR 43,Mistress al'Taron
Affiliation,Two Rivers,Mistress al'Taron
Nationality,Andoran,Joiya al'Thor
Current status,Foreseen,Joiya al'Thor
Gender,Female,Joiya al'Thor
First appeared,TDR 22,Joiya al'Thor
Last appeared,TDR 22,Joiya al'Thor
Affiliation,Two Rivers,Joiya al'Thor
Nationality,Andoran,Kari al'Thor
Date of death,984 NE,Kari al'Thor
Current status,Dead,Kari al'Thor
Gender,Female,Kari al'Thor
Hair,Red,Kari al'Thor
Eyes,Gray,Kari al'Thor
First mentioned,TEOTW 6,Kari al'Thor
Last mentioned,LOC 16,Kari al'Thor
Affiliation,Two Rivers,Kari al'Thor
Nationality,Andoran,Alene al'Vere
Date of birth,969 NE,Alene al'Vere
Current status,Alive,Alene al'Vere
Gender,Female,Alene al'Vere
Hair,Braided,Alene al'Vere
First mentioned,TEOTW Ravens,Alene al'Vere
Last mentioned,WH 26,Alene al'Vere
Affiliation,Two Rivers,Alene al'Vere
Nationality,Andoran,Berowyn al'Vere
Date of birth,965 NE,Berowyn al'Vere
Current status,Alive,Berowyn al'Vere
Gender,Female,Berowyn al'Vere
First mentioned,TEOTW Ravens,Berowyn al'Vere
Last mentioned,WH 26,Berowyn al'Vere
Affiliation,Two Rivers,Berowyn al'Vere
Nationality,Andoran,Egwene al'Vere
Date of birth,981 NE,Egwene al'Vere
Date of death,1000 NE,Egwene al'Vere
Current status,Dead,Egwene al'Vere
Gender,Female,Egwene al'Vere
Height,"5'3"" or 160 cm",Egwene al'Vere
Build,Slender,Egwene al'Vere
Hair,Brown,Egwene al'Vere
Eyes,Brown,Egwene al'Vere
First appeared,TEOTW Ravens,Egwene al'Vere
Last appeared,AMOL 37,Egwene al'Vere
Last mentioned,AMOL Epilogue,Egwene al'Vere
Affiliation,White Tower,Egwene al'Vere
Title,Amyrlin Seat,Egwene al'Vere
Rank,Aes Sedai,Egwene al'Vere
Ajah,No Ajah,Egwene al'Vere
Nationality,Andoran,Elisa al'Vere
Date of birth,972 NE,Elisa al'Vere
Current status,Alive,Elisa al'Vere
Gender,Female,Elisa al'Vere
First appeared,TEOTW Ravens,Elisa al'Vere
Last appeared,TEOTW Ravens,Elisa al'Vere
Last mentioned,WH 26,Elisa al'Vere
Affiliation,Two Rivers,Elisa al'Vere
Nationality,Andoran,Loise al'Vere
Date of birth,975 NE,Loise al'Vere
Current status,Alive,Loise al'Vere
Gender,Female,Loise al'Vere
First appeared,TEOTW Ravens,Loise al'Vere
Last appeared,TEOTW Ravens,Loise al'Vere
Last mentioned,WH 26,Loise al'Vere
Affiliation,Two Rivers,Loise al'Vere
Nationality,Andoran,Marin al'Vere
Date of birth,940 NE,Marin al'Vere
Current status,Alive,Marin al'Vere
Gender,Female,Marin al'Vere
Height,"5'4""",Marin al'Vere
Weight,Slender,Marin al'Vere
Hair,Graying,Marin al'Vere
First mentioned,TEOTW 1,Marin al'Vere
First appeared,TEOTW 2,Marin al'Vere
Last appeared,TSR 56,Marin al'Vere
Last mentioned,AMOL 1,Marin al'Vere
Affiliation,Two Rivers,Marin al'Vere
Occupation,Innkeeper,Marin al'Vere
Title,Women's Circle Member,Marin al'Vere
Current status,Dead,Ala
Race,Ogier,Ala
Gender,Female,Ala
First mentioned,TSR 43,Ala
Last mentioned,TSR 43,Ala
Nationality,Amadician,Alainia
Current status,Alive,Alainia
Gender,Female,Alainia
Build,Plump,Alainia
First appeared,KOD 28,Alainia
Last appeared,KOD 28,Alainia
Affiliation,Faile Bashere,Alainia
Occupation,Silversmith,Alainia
Current status,Alive,Alar
Race,Ogier,Alar
Gender,Female,Alar
First appeared,TGH 36,Alar
Last appeared,LOC 20,Alar
Title,Eldest,Alar
Rank,Elder,Alar
Nationality,Aiel,Alarys
Current status,Alive,Alarys
Gender,Female,Alarys
Hair,Dark,Alarys
First appeared,ACOS Prologue,Alarys
Last appeared,COT 9,Alarys
Affiliation,Sevanna,Alarys
Occupation,Wise One,Alarys
Clan,Shaido,Alarys
Sept,Unknown sept,Alarys
Nationality,Cairhienin,Lacile Aldorwin
Current status,Alive,Lacile Aldorwin
Gender,Female,Lacile Aldorwin
Height,Short,Lacile Aldorwin
Build,Slim,Lacile Aldorwin
First appeared,TPOD 8,Lacile Aldorwin
Last appeared,TOM 30,Lacile Aldorwin
Last mentioned,TOM 43,Lacile Aldorwin
Affiliation,Cha Faile,Lacile Aldorwin
Nationality,Saldaean,Alida Aldragoran
Current status,Alive,Alida Aldragoran
Gender,Female,Alida Aldragoran
First mentioned,KOD 20,Alida Aldragoran
Last mentioned,KOD 20,Alida Aldragoran
Nationality,Far Madding,Sybaine Aldwyn
Current status,Alive,Sybaine Aldwyn
Gender,Female,Sybaine Aldwyn
Hair,Gray,Sybaine Aldwyn
First appeared,WH 24,Sybaine Aldwyn
Last appeared,WH 34,Sybaine Aldwyn
Rank,Counsel,Sybaine Aldwyn
Nationality,Unknown nationality,Teire Alentaine
Current status,Alive,Teire Alentaine
Gender,Female,Teire Alentaine
First mentioned,The Wheel of Time Companion,Teire Alentaine
Affiliation,White Tower,Teire Alentaine
Rank,Aes Sedai,Teire Alentaine
Ajah,Gray Ajah,Teire Alentaine
Nationality,Andoran,Alesinde
Date of death,FY 1035,Alesinde
Current status,Dead,Alesinde
Gender,Female,Alesinde
First mentioned,LOC 26,Alesinde
Last mentioned,LOC 26,Alesinde
Title,Queen,Alesinde
Rank,Queen of Andor,Alesinde
Nationality,Amadician,Alfara
Current status,Alive,Alfara
Gender,Female,Alfara
Build,Plump,Alfara
Hair,"gray, curly, long",Alfara
First appeared,TFOH 13,Alfara
Last appeared,TFOH 13,Alfara
Occupation,Innkeeper,Alfara
Nationality,Amadician,Marande Algoran
Current status,Alive,Marande Algoran
Gender,Female,Marande Algoran
First appeared,LOC 9,Marande Algoran
Last appeared,LOC 9,Marande Algoran
Title,Lady,Marande Algoran
Nationality,Cairhienin,Doniella Alievin
Date of death,363 NE,Doniella Alievin
Current status,Dead,Doniella Alievin
Gender,Female,Doniella Alievin
First mentioned,TWORJTWOT,Doniella Alievin
Last mentioned,AMOL 37,Doniella Alievin
Title,Amyrlin Seat,Doniella Alievin
Rank,Aes Sedai,Doniella Alievin
Ajah,Brown Ajah,Doniella Alievin
Nationality,Altaran,Alis
Current status,Alive,Alis
Gender,Female,Alis
First appeared,ACOS 28,Alis
Last mentioned,ACOS 28,Alis
Occupation,Servant,Alis
Nationality,Seanchan,Alivia
Date of birth,586 NE,Alivia
Current status,Alive,Alivia
Gender,Female,Alivia
Height,Short,Alivia
Hair,Golden yellow with threads of white,Alivia
Eyes,Blue,Alivia
First mentioned,TPOD 23,Alivia
First appeared,WH 11,Alivia
Last appeared,AMOL 42,Alivia
Last mentioned,AMOL Epilogue,Alivia
Affiliation,Dragon Reborn,Alivia
Nationality,Saldaea,Zarya Alkaese
Current status,Alive,Zarya Alkaese
Gender,Female,Zarya Alkaese
Eyes,"Dark, tilted",Zarya Alkaese
First appeared,ACOS 23,Zarya Alkaese
Last appeared,KOD 17,Zarya Alkaese
Affiliation,White Tower,Zarya Alkaese
Rank,Novice,Zarya Alkaese
Nationality,Domani,Tamore Alkohima
Current status,Alive,Tamore Alkohima
Gender,Female,Tamore Alkohima
Build,Full-figured,Tamore Alkohima
First appeared,NS 13,Tamore Alkohima
Last appeared,NS 13,Tamore Alkohima
Last mentioned,NS 18,Tamore Alkohima
Occupation,Seamstress,Tamore Alkohima
Nationality,Domani,Bastine Almadar
Current status,Dead,Bastine Almadar
Gender,Female,Bastine Almadar
First mentioned,The Wheel of Time Companion,Bastine Almadar
Affiliation,Artur Hawkwing,Bastine Almadar
Title,Lady,Bastine Almadar
Nationality,Unknown nationality,Dumera Alman
Current status,Dead,Dumera Alman
Gender,Female,Dumera Alman
First mentioned,TWORJTWOT,Dumera Alman
Last mentioned,TWORJTWOT,Dumera Alman
Rank,Aes Sedai,Dumera Alman
Ajah,Unknown Ajah,Dumera Alman
Current status,Dead,Alnora
Gender,Female,Alnora
Hair,Glossy black,Alnora
First appeared,TSR 26,Alnora
Last appeared,TSR 26,Alnora
Clan,Da'shain Aiel,Alnora
Nationality,Ghealdanin,Desandre Alraed
Current status,Alive,Desandre Alraed
Gender,Female,Desandre Alraed
Build,Willowy,Desandre Alraed
First mentioned,NS 4,Desandre Alraed
First appeared,WH Prologue,Desandre Alraed
Last appeared,COT Prologue,Desandre Alraed
Affiliation,White Tower,Desandre Alraed
Rank,Aes Sedai,Desandre Alraed
Ajah,Yellow Ajah,Desandre Alraed
Nationality,Unknown nationality,Katerine Alruddin
Date of birth,950 NE,Katerine Alruddin
Date of death,1000 NE,Katerine Alruddin
Current status,Dead,Katerine Alruddin
Gender,Female,Katerine Alruddin
Hair,"Dark, very long",Katerine Alruddin
Eyes,Hard,Katerine Alruddin
First appeared,NS 4,Katerine Alruddin
Last appeared,TOM 38,Katerine Alruddin
Affiliation,Black Ajah,Katerine Alruddin
Title,Mistress of Novices,Katerine Alruddin
Rank,Aes Sedai,Katerine Alruddin
Ajah,Red Ajah,Katerine Alruddin
Nationality,Aiel,Alsera
Current status,Alive,Alsera
Gender,Female,Alsera
First mentioned,TSR 49,Alsera
Last mentioned,TSR 49,Alsera
Occupation,Wise One,Alsera
Clan,Nakai,Alsera
Sept,Unknown sept,Alsera
Nationality,Taraboner,Alstaing
Current status,Alive,Alstaing
Gender,Female,Alstaing
First appeared,KOD 11,Alstaing
Last appeared,KOD 11,Alstaing
Occupation,Merchant,Alstaing
Nationality,Amadician,Altalin
Current status,Alive,Altalin
Gender,Female,Altalin
Build,Plump,Altalin
First appeared,LOC 9,Altalin
Last appeared,LOC 9,Altalin
Last mentioned,LOC 9,Altalin
Title,Lady,Altalin
Nationality,Tairen,Alteima
Current status,Alive,Alteima
Gender,Female,Alteima
Height,Tall,Alteima
Weight,Slender,Alteima
Hair,Long (half way to her waist) Black,Alteima
Eyes,Large Brown,Alteima
First mentioned,TSR 4,Alteima
First appeared,TSR 21,Alteima
Last appeared,TOM 5,Alteima
Title,Lady,Alteima
Rank,High Lady,Alteima
Nationality,Cairhienin,Alvistere
Current status,Alive,Alvistere
Gender,Female,Alvistere
Height,Short,Alvistere
Build,Slim,Alvistere
Hair,"Long, dark",Alvistere
First appeared,KOD 24,Alvistere
Last appeared,KOD 24,Alvistere
Affiliation,White Tower,Alvistere
Rank,Novice,Alvistere
Nationality,Cairhienin,Doesine Alwain
Date of birth,867 NE,Doesine Alwain
Date of death,1000 NE,Doesine Alwain
Current status,Dead,Doesine Alwain
Gender,Female,Doesine Alwain
Height,Average,Doesine Alwain
Build,Slender,Doesine Alwain
First appeared,TPOD 26,Doesine Alwain
Last appeared,AMOL 37,Doesine Alwain
Affiliation,White Tower,Doesine Alwain
Occupation,Sitter,Doesine Alwain
Rank,Aes Sedai,Doesine Alwain
Ajah,Yellow Ajah,Doesine Alwain
Nationality,Seanchan,Alwhin
Date of death,1000 NE,Alwhin
Current status,Dead,Alwhin
Gender,Female,Alwhin
Eyes,Blue,Alwhin
First appeared,TGH 40,Alwhin
Last appeared,TPOD 24,Alwhin
Last mentioned,KOD Prologue,Alwhin
Rank,So'jhin,Alwhin
Nationality,Andoran,Alysa
Current status,Alive,Alysa
Gender,Female,Alysa
Hair,Dark,Alysa
First appeared,TOM 1,Alysa
Last appeared,TOM 1,Alysa
Current status,Dead,Amar
Race,Ogier,Amar
Gender,Female,Amar
First mentioned,LOC 54,Amar
Last mentioned,LOC 54,Amar
Nationality,Unknown nationality,Amaresu
Current status,Bound to the Wheel,Amaresu
Gender,Female,Amaresu
First appeared,TGH 47,Amaresu
Last appeared,TGH 47,Amaresu
Last mentioned,AMOL 39,Amaresu
Affiliation,Horn of Valere,Amaresu
Rank,Hero of the Horn,Amaresu
Nationality,Aiel,Amaryn
Current status,Alive,Amaryn
Gender,Female,Amaryn
First mentioned,LOC 33,Amaryn
Last mentioned,LOC 33,Amaryn
Clan,Unknown clan,Amaryn
Sept,Unknown sept,Amaryn
Society,Unknown society,Amaryn
Nationality,Atha'an Miere,Zemaille Amassa
Date of birth,931 NE,Zemaille Amassa
Current status,Alive,Zemaille Amassa
Gender,Female,Zemaille Amassa
Height,Tall,Zemaille Amassa
Build,Slim,Zemaille Amassa
Hair,"Straight, black",Zemaille Amassa
First appeared,NS 3,Zemaille Amassa
Last appeared,COT 21,Zemaille Amassa
Affiliation,White Tower,Zemaille Amassa
Occupation,Librarian,Zemaille Amassa
Rank,Aes Sedai,Zemaille Amassa
Ajah,Brown Ajah,Zemaille Amassa
Nationality,Unknown nationality,Lemai Ambani
Current status,Alive,Lemai Ambani
Gender,Female,Lemai Ambani
First appeared,WH Prologue,Lemai Ambani
Last appeared,COT Prologue,Lemai Ambani
Affiliation,White Tower,Lemai Ambani
Rank,Aes Sedai,Lemai Ambani
Ajah,Red Ajah,Lemai Ambani
Nationality,Andoran,Merana Ambrey
Date of birth,889 NE,Merana Ambrey
Current status,Alive,Merana Ambrey
Gender,Female,Merana Ambrey
First mentioned,LOC 36,Merana Ambrey
First appeared,LOC 43,Merana Ambrey
Last appeared,KOD 21,Merana Ambrey
Affiliation,Rebel Aes Sedai,Merana Ambrey
Rank,Aes Sedai,Merana Ambrey
Ajah,Gray Ajah,Merana Ambrey
Nationality,Unknown nationality,Saraline Amerano
Current status,Dead,Saraline Amerano
Gender,Female,Saraline Amerano
First mentioned,TWORJTWOT,Saraline Amerano
Last mentioned,TWORJTWOT,Saraline Amerano
Affiliation,White Tower,Saraline Amerano
Rank,Aes Sedai,Saraline Amerano
Ajah,Unknown Ajah,Saraline Amerano
Nationality,Far Madding,Savion Amhara
Current status,Dead,Savion Amhara
Gender,Female,Savion Amhara
First mentioned,WH 22,Savion Amhara
Last mentioned,WH 22,Savion Amhara
Affiliation,Far Madding,Savion Amhara
Rank,First Counsel,Savion Amhara
Nationality,Unknown nationality,Amylia
Current status,Alive,Amylia
Gender,Female,Amylia
Hair,Pale,Amylia
Eyes,"Blue, startling",Amylia
First mentioned,COT 14,Amylia
First appeared,KOD 22,Amylia
Last appeared,KOD 22,Amylia
Affiliation,Unaligned sisters,Amylia
Rank,Aes Sedai,Amylia
Ajah,Brown Ajah,Amylia
Nationality,Aiel,Amys
Current status,Alive,Amys
Gender,Female,Amys
Height,Tall,Amys
Build,Slim,Amys
Hair,Silvery-White,Amys
Eyes,Blue,Amys
First mentioned,TDR 39,Amys
First appeared,TSR 11,Amys
Last appeared,AMOL 42,Amys
Occupation,Wise One,Amys
Clan,Taardad,Amys
Sept,Nine Valleys,Amys
Nationality,Altaran,Frielle Anan
Current status,Alive,Frielle Anan
Gender,Female,Frielle Anan
First appeared,LOC 52,Frielle Anan
Last appeared,WH 19,Frielle Anan
Occupation,Maid,Frielle Anan
Nationality,Altaran,Leral Anan
Current status,Alive,Leral Anan
Gender,Female,Leral Anan
First appeared,WH 19,Leral Anan
Last appeared,WH 29,Leral Anan
Last mentioned,WH 29,Leral Anan
Occupation,Maid,Leral Anan
Nationality,Altaran,Marah Anan
Current status,Alive,Marah Anan
Gender,Female,Marah Anan
First appeared,WH 19,Marah Anan
Last appeared,WH 29,Marah Anan
Last mentioned,WH 29,Marah Anan
Occupation,Maid,Marah Anan
Nationality,Borderlander,Setalle Anan
Date of birth,902 NE,Setalle Anan
Current status,Alive,Setalle Anan
Gender,Female,Setalle Anan
Hair,Graying,Setalle Anan
Eyes,Hazel,Setalle Anan
First appeared,LOC 47,Setalle Anan
Last appeared,AMOL 34,Setalle Anan
Occupation,Innkeeper,Setalle Anan
Nationality,Unknown nationality,Ananda
Date of death,999 NE,Ananda
Current status,Dead,Ananda
Gender,Female,Ananda
Build,Slender,Ananda
Hair,"Black, Waist-length",Ananda
First appeared,TSR 1,Ananda
Last appeared,TSR 1,Ananda
Affiliation,White Tower,Ananda
Rank,Aes Sedai,Ananda
Ajah,Yellow Ajah,Ananda
Nationality,Shienaran,Anasai
Current status,Presumed dead,Anasai
Gender,Female,Anasai
First mentioned,TEOTW 46,Anasai
Last mentioned,AMOL 7,Anasai
Occupation,Poet,Anasai
Nationality,Unknown nationality,Sashalle Anderly
Date of birth,816 NE,Sashalle Anderly
Current status,Alive,Sashalle Anderly
Gender,Female,Sashalle Anderly
Hair,Curly,Sashalle Anderly
