_id,height,race,gender,birth,spouse,death,realm,hair,name,wikiUrl,series
5cd99d4bde30eff6ebccfbcd,,Human,Male,TA 726,Unnamed wife,TA 946,Arthedain,,Amlaith,http://lotr.wikia.com//wiki/Amlaith,lotr
5cd99d4bde30eff6ebccfbce,,Elf,Male,,Nimrodel,TA 1981,Lórien,Golden,Amroth,http://lotr.wikia.com//wiki/Amroth,lotr
5cd99d4bde30eff6ebccfbcf,,Human,Male,TA 2994,,,,,Amrothos,http://lotr.wikia.com//wiki/Amrothos,lotr
5cd99d4bde30eff6ebccfbd0,,Elf,Female,YT,Fingolfin,,,,Anairë,http://lotr.wikia.com//wiki/Anair%C3%AB,lotr
5cd99d4bde30eff6ebccfbd1,,Human,Male,TA 136,Unnamed wife,TA 411,Gondor,,Anardil,http://lotr.wikia.com//wiki/Anardil,lotr
5cd99d4bde30eff6ebccfbd2,,Human,Male,"Late ,Third Age",,,,Dark,Anborn,http://lotr.wikia.com//wiki/Anborn,lotr
5cd99d4bde30eff6ebccfbd3,,Human,Female,FA 361,"Loved ,Aegnor, but they never married",FA 455,,Dark brown,Andreth,http://lotr.wikia.com//wiki/Andreth,lotr
5cd99d4bde30eff6ebccfbd4,,Human,Male,FA 440,Unnamed wife,FA 489,,,Andróg,http://lotr.wikia.com//wiki/Andr%C3%B3g,lotr
5cd99d4bde30eff6ebccfbd5,,Elf,Male,Years of the Trees,None,FA 538,Estolad,Dark red,Amras,http://lotr.wikia.com//wiki/Amras,lotr
5cd99d4bde30eff6ebccfbd6,,Human,Male,"Mid-,Third Age",,,,,Angamaitë,http://lotr.wikia.com//wiki/Angamait%C3%AB,lotr
5cd99d4bde30eff6ebccfbd7,,Elf,Male,"Sometime during ,Years of the Trees, or the ,First Age",Unnamed wife,SA 3434,Lórien,,Amdír,http://lotr.wikia.com//wiki/Amd%C3%ADr,lotr
5cd99d4bde30eff6ebccfbd8,,Elf,Male,Years of the Trees,None,"YT 1497 ,Losgar",,Dark red,Amrod,http://lotr.wikia.com//wiki/Amrod,lotr
5cd99d4bde30eff6ebccfbd9,,Elf,Male,,,,,,Annael,http://lotr.wikia.com//wiki/Annael,lotr
5cd99d4bde30eff6ebccfbda,,Human,Male,"Late ,Third Age",,,,,Angbor,http://lotr.wikia.com//wiki/Angbor,lotr
5cd99d4bde30eff6ebccfbdb,,Human,Male,TA 2866,Unnamed wife,TA 2977,,,Angelimir,http://lotr.wikia.com//wiki/Angelimir,lotr
5cd99d4bde30eff6ebccfbdc,,Elf,Male,YT,Eldalótë,FA 455,,Golden,Angrod,http://lotr.wikia.com//wiki/Angrod,lotr
5cd99d4bde30eff6ebccfbdd,,Human,Male,SA 3219,Unnamed wife,SA 3440,Gondor,,Anárion,http://lotr.wikia.com//wiki/An%C3%A1rion,lotr
5cd99d4bde30eff6ebccfbde,,Human,Male,SA 2709,Unnamed wife,SA 2962,Númenor,,Ar-Adûnakhôr,http://lotr.wikia.com//wiki/Ar-Ad%C3%BBnakh%C3%B4r,lotr
5cd99d4bde30eff6ebccfbdf,,Human,Male,SA 2960,Inzilbêth,SA 3177,Númenor,,Ar-Gimilzôr,http://lotr.wikia.com//wiki/Ar-Gimilz%C3%B4r,lotr
5cd99d4bde30eff6ebccfbe0,,Human,Male,SA 2798,Unnamed wife,SA 3033,Númenor,,Ar-Zimrathôn,http://lotr.wikia.com//wiki/Ar-Zimrath%C3%B4n,lotr
5cd99d4bde30eff6ebccfbe1,Tall,Human,Male,SA 3118,Tar-Míriel,Still alive,Númenor,,Ar-Pharazôn,http://lotr.wikia.com//wiki/Ar-Pharaz%C3%B4n,lotr
5cd99d4bde30eff6ebccfbe2,,Human,Male,SA 2876,Unnamed wife,SA 3102,Númenor,,Ar-Sakalthôr,http://lotr.wikia.com//wiki/Ar-Sakalth%C3%B4r,lotr
5cd99d4bde30eff6ebccfbe3,,Human,Male,TA 2820,Unnamed wife,TA 2930,,"Dark, then grey (film)",Arador,http://lotr.wikia.com//wiki/Arador,lotr
5cd99d4bde30eff6ebccfbe4,,Human,Male,TA 2296,Unnamed wife,TA 2455,,,Araglas,http://lotr.wikia.com//wiki/Araglas,lotr
5cd99d4bde30eff6ebccfbe5,,Human,Male,TA 2227,Unnamed wife,TA 2327,,,Aragorn I,http://lotr.wikia.com//wiki/Aragorn_I,lotr
5cd99d4bde30eff6ebccfbe6,"198cm (6'6"")",Human,Male,"March 1 ,2931",Arwen,FO 120,"Reunited Kingdom,Arnor,Gondor",Dark,Aragorn II Elessar,http://lotr.wikia.com//wiki/Aragorn_II_Elessar,lotr
5cd99d4bde30eff6ebccfbe7,,Human,Male,TA 2431,Unnamed wife,TA 2588,,,Aragost,http://lotr.wikia.com//wiki/Aragost,lotr
5cd99d4bde30eff6ebccfbe8,,Human,Male,TA 2365,Unnamed wife,TA 2523,,,Arahad I,http://lotr.wikia.com//wiki/Arahad_I,lotr
5cd99d4bde30eff6ebccfbe9,,Human,Male,TA 2563,Unnamed wife,TA 2719,,,Arahad II,http://lotr.wikia.com//wiki/Arahad_II,lotr
5cd99d4bde30eff6ebccfbea,,Human,Male,TA 2012,Unnamed wife,TA 2177,,,Arahael,http://lotr.wikia.com//wiki/Arahael,lotr
5cd99d4bde30eff6ebccfbeb,,Human,Male,TA 1938,Unnamed wife,TA 2106,,,Aranarth,http://lotr.wikia.com//wiki/Aranarth,lotr
5cd99d4bde30eff6ebccfbec,,Human,Male,TA 185,Unnamed wife,TA 435,Arnor,,Arantar,http://lotr.wikia.com//wiki/Arantar,lotr
5cd99d4bde30eff6ebccfbed,,Human,Male,TA 2084,Unnamed wife,TA 2247,,,Aranuir,http://lotr.wikia.com//wiki/Aranuir,lotr
5cd99d4bde30eff6ebccfbee,,Elf,Male,,Unnamed wife,,,,Aranwë,http://lotr.wikia.com//wiki/Aranw%C3%AB,lotr
5cd99d4bde30eff6ebccfbef,,Human,Male,TA 1789,Unnamed wife,TA 1964,Arthedain,,Araphant,http://lotr.wikia.com//wiki/Araphant,lotr
5cd99d4bde30eff6ebccfbf0,,Human,Male,TA 2693,Unnamed wife,TA 2848,,,Arathorn I,http://lotr.wikia.com//wiki/Arathorn_I,lotr
5cd99d4bde30eff6ebccfbf1,,Human,Male,TA 2873,Gilraen,TA 2933,,Dark (film),Arathorn II,http://lotr.wikia.com//wiki/Arathorn_II,lotr
5cd99d4bde30eff6ebccfbf2,,Human,Male,TA 1711,Unnamed wife,TA 1891,"Arthedain,Arnor",,Araval,http://lotr.wikia.com//wiki/Araval,lotr
5cd99d4bde30eff6ebccfbf3,,Human,Male,TA 2156,Unnamed wife,TA 2319,,,Aravir,http://lotr.wikia.com//wiki/Aravir,lotr
5cd99d4bde30eff6ebccfbf4,,Human,Male,TA 2497,Unnamed wife,TA 2654,,,Aravorn,http://lotr.wikia.com//wiki/Aravorn,lotr
5cd99d4bde30eff6ebccfbf5,,Human,Male,"After ,TA 1684",Unnamed wife,,,,Arciryas,http://lotr.wikia.com//wiki/Arciryas,lotr
5cd99d4bde30eff6ebccfbf6,,Human,Male,TA 2628,Unnamed wife,TA 2784,,,Arassuil,http://lotr.wikia.com//wiki/Arassuil,lotr
5cd99d4bde30eff6ebccfbf7,,Human,Male,TA 1391,Unnamed wife,TA 1589,Arthedain,,Araphor,http://lotr.wikia.com//wiki/Araphor,lotr
5cd99d4bde30eff6ebccfbf8,,Human,Male,SA 3339,"Unknown, possibly known",,TA 2,,Aratan,http://lotr.wikia.com//wiki/Aratan,lotr
5cd99d4bde30eff6ebccfbf9,,Human,Male,SA 562,,,,,Ardamir (son of Axantur),http://lotr.wikia.com//wiki/Ardamir_(son_of_Axantur),lotr
5cd99d4bde30eff6ebccfbfa,Tall,Elf,Female,YT 1362,Eöl,FA 400,,Dark,Aredhel,http://lotr.wikia.com//wiki/Aredhel,lotr
5cd99d4bde30eff6ebccfbfb,,Human,Male,TA 1226,Unnamed wife,TA 1356,"Arthedain,Arnor",,Argeleb I,http://lotr.wikia.com//wiki/Argeleb_I,lotr
5cd99d4bde30eff6ebccfbfc,,Elf,Male,,,,,,Arminas,http://lotr.wikia.com//wiki/Arminas,lotr
5cd99d4bde30eff6ebccfbfd,,Human,Male,"Late ,First Age",,FA 460,,,Arthad,http://lotr.wikia.com//wiki/Arthad,lotr
5cd99d4bde30eff6ebccfbfe,,Human,Male,TA 1864,Fíriel,TA 1975,Arthedain,,Arvedui,http://lotr.wikia.com//wiki/Arvedui,lotr
5cd99d4bde30eff6ebccfbff,,Human,Male,TA 1553,Unnamed wife,TA 1743,"Arthedain,Arnor",,Arvegil,http://lotr.wikia.com//wiki/Arvegil,lotr
5cd99d4bde30eff6ebccfc00,,Human,Male,TA 1309,Unnamed wife,TA 1409,"Arnor,Arthedain",,Arveleg I,http://lotr.wikia.com//wiki/Arveleg_I,lotr
5cd99d4bde30eff6ebccfc01,,Human,Male,TA 1633,Unnamed wife,TA 1813,"Arthedain,Arnor",,Arveleg II,http://lotr.wikia.com//wiki/Arveleg_II,lotr
5cd99d4bde30eff6ebccfc02,Tall,Elf,Male,Years of the Trees,None,"YT 1500, or ,FA 1 ,Battle of the Lammoth",,Possibly dark,Argon,http://lotr.wikia.com//wiki/Argon,lotr
5cd99d4bde30eff6ebccfc03,,Human,Male,TA 2757,Unnamed wife,TA 2912,,,Argonui,http://lotr.wikia.com//wiki/Argonui,lotr
5cd99d4bde30eff6ebccfc04,,Human,Male,TA 1473,Unnamed wife,TA 1670,Arthedain,,Argeleb II,http://lotr.wikia.com//wiki/Argeleb_II,lotr
5cd99d4bde30eff6ebccfc05,,Human,Male,TA 977,Unnamed wife,TA 1226,Gondor,,Atanatar II,http://lotr.wikia.com//wiki/Atanatar_II,lotr
5cd99d4bde30eff6ebccfc06,,Human,Male,"After ,SA 61",Possible unnamed wife,"Early ,Second Age",,,Atanalcar,http://lotr.wikia.com//wiki/Atanalcar,lotr
5cd99d4bde30eff6ebccfc07,,Elf,Female,TA 241,Aragorn II Elessar,FO 121,Reunited Kingdom,Black,Arwen,http://lotr.wikia.com//wiki/Arwen,lotr
5cd99d4bde30eff6ebccfc08,,Dwarf,Male,FA 214,,FA 473,,,Azaghâl,http://lotr.wikia.com//wiki/Azagh%C3%A2l,lotr
5cd99d4bde30eff6ebccfc09,,Human,Male,SA 213,Unnamed wife,"Early ,Second Age",,,Aulendil (Vardamir's son),http://lotr.wikia.com//wiki/Aulendil_(Vardamir%27s_son),lotr
5cd99d4bde30eff6ebccfc0a,,Hobbit,Female,TA 2981,,"Early-,Fourth Age",,Blonde,Angelica Baggins,http://lotr.wikia.com//wiki/Angelica_Baggins,lotr
5cd99d4bde30eff6ebccfc0b,,Human,Male,SA 395,Unnamed wife,,,,Axantur,http://lotr.wikia.com//wiki/Axantur,lotr
5cd99d4bde30eff6ebccfc0c,,Hobbit,Male,TA 2767,Berylla (Boffin) Baggins,TA 2858,,,Balbo Baggins,http://lotr.wikia.com//wiki/Balbo_Baggins,lotr
5cd99d4bde30eff6ebccfc0d,,Human,Male,TA 480,Unnamed wife,TA 748,Gondor,,Atanatar I,http://lotr.wikia.com//wiki/Atanatar_I,lotr
5cd99d4bde30eff6ebccfc0e,,Hobbit,Female,TA 2852,Bungo Baggins,TA 2934,,Black,Belladonna (Took) Baggins,http://lotr.wikia.com//wiki/Belladonna_(Took)_Baggins,lotr
5cd99d4bde30eff6ebccfc0f,,Hobbit,Female,TA 2772,Balbo Baggins,TA 2871,,,Berylla (Boffin) Baggins,http://lotr.wikia.com//wiki/Berylla_(Boffin)_Baggins,lotr
5cd99d4bde30eff6ebccfc10,,Hobbit,Male,TA 2846,,TA 2926,,,Bungo Baggins,http://lotr.wikia.com//wiki/Bungo_Baggins,lotr
5cd99d4bde30eff6ebccfc11,,Hobbit,Male,TA 2911,Unnamed wife,TA 3009,,,Dudo Baggins,http://lotr.wikia.com//wiki/Dudo_Baggins,lotr
5cd99d4bde30eff6ebccfc12,,Hobbit,Female,TA 2814,Mungo Baggins,TA 2916,,,Laura (Grubb) Baggins,http://lotr.wikia.com//wiki/Laura_(Grubb)_Baggins,lotr
5cd99d4bde30eff6ebccfc13,,Hobbit,male,TA 2864,Ruby Bolger,TA 2960,,,Fosco Baggins,http://lotr.wikia.com//wiki/Fosco_Baggins,lotr
5cd99d4bde30eff6ebccfc14,,Hobbit,Male,TA 2908,Primula Brandybuck,TA 2980,,,Drogo Baggins,http://lotr.wikia.com//wiki/Drogo_Baggins,lotr
5cd99d4bde30eff6ebccfc15,"1.06m (3'6"")",Hobbit,Male,"22 September ,TA 2968",,"Unknown (Last sighting ,September 29 ,3021,) (,SR 1421,)",,Brown,Frodo Baggins,http://lotr.wikia.com//wiki/Frodo_Baggins,lotr
5cd99d4bde30eff6ebccfc16,,Hobbit,Male,TA 2860,Camellia (Sackville) Baggins,TA 2950,,,Longo Baggins,http://lotr.wikia.com//wiki/Longo_Baggins,lotr
5cd99d4bde30eff6ebccfc17,,Hobbit,Male,TA 2807,Laura Grubb,TA 2900,,,Mungo Baggins,http://lotr.wikia.com//wiki/Mungo_Baggins,lotr
5cd99d4bde30eff6ebccfc18,,Hobbit,Female,TA 2950,Milo Burrows,,,,Peony (Baggins) Burrows,http://lotr.wikia.com//wiki/Peony_(Baggins)_Burrows,lotr
5cd99d4bde30eff6ebccfc19,,Hobbit,Male,TA 2816,Mimosa Bunce,TA 2911,,,Ponto Baggins,http://lotr.wikia.com//wiki/Ponto_Baggins,lotr
5cd99d4bde30eff6ebccfc1a,,Hobbit,Male,TA 2946,Unnamed wife,,,,Ponto Baggins II,http://lotr.wikia.com//wiki/Ponto_Baggins_II,lotr
5cd99d4bde30eff6ebccfc1b,,Dwarf,Male,TA 2763,,TA 2994,,White,Balin,http://lotr.wikia.com//wiki/Balin,lotr
5cd99d4bde30eff6ebccfc1c,,Human,Male,FA 420,Unnamed wife,FA 460,,,Baragund,http://lotr.wikia.com//wiki/Baragund,lotr
5cd99d4bde30eff6ebccfc1d,,Hobbit,Male,TA 2948,,,,,Porto Baggins,http://lotr.wikia.com//wiki/Porto_Baggins,lotr
5cd99d4bde30eff6ebccfc1e,,Human,Male,FA 289,Unnamed wife,FA 380,Estolad,,Baran,http://lotr.wikia.com//wiki/Baran,lotr
5cd99d4bde30eff6ebccfc1f,"1.76m / 5'9"" (film)",Human,Male,TA 2925,Unnamed wife,TA 3007,Dale,Brown (film),Bain,http://lotr.wikia.com//wiki/Bain,lotr
5cd99d4bde30eff6ebccfc20,,Human,,,,,,,Baranor (Gondor),http://lotr.wikia.com//wiki/Baranor_(Gondor),lotr
5cd99d4bde30eff6ebccfc21,,Human,Male,TA 2898,Unnamed wife,TA 2977,Dale,Black (films),Bard,http://lotr.wikia.com//wiki/Bard,lotr
5cd99d4bde30eff6ebccfc22,"6'2""",Human,Male,TA 2985,,"Early ,Fourth Age","Dale,Lake-town",,Bard II,http://lotr.wikia.com//wiki/Bard_II,lotr
5cd99d4bde30eff6ebccfc23,,Human,Male,FA 316,Unnamed wife,,,,Beldir,http://lotr.wikia.com//wiki/Beldir,lotr
5cd99d4bde30eff6ebccfc24,,Human,Female,"Mid-,First Age",Handir,,,Brown,Beldis,http://lotr.wikia.com//wiki/Beldis,lotr
5cd99d4bde30eff6ebccfc25,,Human,Male,FA 402,Emeldir,FA 460,,Possibly dark,Barahir,http://lotr.wikia.com//wiki/Barahir,lotr
5cd99d4bde30eff6ebccfc26,,Human,Male,TA 2545,Unnamed wife,TA 2655,,,Belecthor I,http://lotr.wikia.com//wiki/Belecthor_I,lotr
5cd99d4bde30eff6ebccfc27,,Human,Male,TA 811,Unnamed wife,TA 1029,"Arnor,Arthedain",,Beleg of Arnor,http://lotr.wikia.com//wiki/Beleg_of_Arnor,lotr
5cd99d4bde30eff6ebccfc28,,Human,Male,TA 2074,Unnamed wife,TA 2204,,,Belegorn,http://lotr.wikia.com//wiki/Belegorn,lotr
5cd99d4bde30eff6ebccfc29,,Human,Male,"Late ,First Age",Unnamed wife,FA 460,,,Belegund,http://lotr.wikia.com//wiki/Belegund,lotr
5cd99d4bde30eff6ebccfc2a,,Human,Male,FA 339,Adanel,,,,Belemir,http://lotr.wikia.com//wiki/Belemir,lotr
5cd99d4bde30eff6ebccfc2b,,Human,Male,FA 292,Unnamed wife,,,,Belen,http://lotr.wikia.com//wiki/Belen,lotr
5cd99d4bde30eff6ebccfc2c,Tall,Human,Male,,,"Before the ,War of the Ring",,Black,Beorn,http://lotr.wikia.com//wiki/Beorn,lotr
5cd99d4bde30eff6ebccfc2d,,Human,Male,FA 340,,,,,Bereg,http://lotr.wikia.com//wiki/Bereg,lotr
5cd99d4bde30eff6ebccfc2e,,Human,Male,TA 2700,Unnamed wife,TA 2811,,,Beregond,http://lotr.wikia.com//wiki/Beregond,lotr
5cd99d4bde30eff6ebccfc2f,,Human,Male,TA 2976,Unnamed wife,Fourth Age,,,Beregond (Captain),http://lotr.wikia.com//wiki/Beregond_(Captain),lotr
5cd99d4bde30eff6ebccfc30,,Human,Male,"Early ,Fourth Age",,,,,Berelach,http://lotr.wikia.com//wiki/Berelach,lotr
5cd99d4bde30eff6ebccfc31,Tall,Human,Male,FA 432,Lúthien Tinúviel,FA 466,,Dark,Beren,http://lotr.wikia.com//wiki/Beren,lotr
5cd99d4bde30eff6ebccfc32,,Human,Male,FA 317,Unnamed wife,,,,Baranor,http://lotr.wikia.com//wiki/Baranor,lotr
5cd99d4bde30eff6ebccfc33,,Human,Male,TA 2655,Unnamed wife,TA 2763,,,Beren (Steward),http://lotr.wikia.com//wiki/Beren_(Steward),lotr
5cd99d4bde30eff6ebccfc34,,Human,Male,"Mid ,First Age",Unnamed wife,,,,Beren (Belemir's son),http://lotr.wikia.com//wiki/Beren_(Belemir%27s_son),lotr
5cd99d4bde30eff6ebccfc35,,Human,Male,TA 3009,,,,,Bergil,http://lotr.wikia.com//wiki/Bergil,lotr
5cd99d4bde30eff6ebccfc36,,Human,Male,TA 2290,Unnamed wife,TA 2412,Gondor,,Barahir (Steward),http://lotr.wikia.com//wiki/Barahir_(Steward),lotr
5cd99d4bde30eff6ebccfc37,"4'5"" (film)",Dwarf,Male,TA 2814,,UnknownFourth Age,,Black/ Grey (film),Bifur,http://lotr.wikia.com//wiki/Bifur,lotr
5cd99d4bde30eff6ebccfc38,"1.25m (4'1"")",Hobbit,Male,"22 September ,TA 2890",None,"Unknown (Last sighting 29 SeptemberTA 3021,) (,SR 1421,)",,"Brown, later white",Bilbo Baggins,http://lotr.wikia.com//wiki/Bilbo_Baggins,lotr
5cd99d4bde30eff6ebccfc39,,Human,Male,,,Late Third Age,"Lake-town,Dale,Rhûn,Dorwinion",,Bladorthin,http://lotr.wikia.com//wiki/Bladorthin,lotr
5cd99d4bde30eff6ebccfc3a,,Human,Male,"Late ,Third Age",,"March 15 ,3019",,,Black Serpent,http://lotr.wikia.com//wiki/Black_Serpent,lotr
5cd99d4bde30eff6ebccfc3b,,Hobbit,Male,TA 1560,,"Sometime after ,TA 1601",,,Blanco,http://lotr.wikia.com//wiki/Blanco,lotr
5cd99d4bde30eff6ebccfc3c,,Human,Male,TA 2752,Unnamed wife,TA 2872,,,Belecthor II,http://lotr.wikia.com//wiki/Belecthor_II,lotr
5cd99d4bde30eff6ebccfc3d,,Hobbit,Male,"Late ,Third Age",,"Early ,Fourth Age",,,Bob,http://lotr.wikia.com//wiki/Bob,lotr
5cd99d4bde30eff6ebccfc3e,,Hobbit,Female,TA 2856,Hugo Boffin,TA 2948,,,Donnamira (Took) Boffin,http://lotr.wikia.com//wiki/Donnamira_(Took)_Boffin,lotr
5cd99d4bde30eff6ebccfc3f,,Hobbit,Female,TA 2950,Griffo Boffin,,,,Daisy (Baggins) Boffin,http://lotr.wikia.com//wiki/Daisy_(Baggins)_Boffin,lotr
5cd99d4bde30eff6ebccfc40,,Hobbit,Male,TA 2767,Unnamed wife,TA 2858,,,Bosco Boffin,http://lotr.wikia.com//wiki/Bosco_Boffin,lotr
5cd99d4bde30eff6ebccfc41,,Hobbit,Male,TA 2978,,"Early ,Fourth Age",,,Folco Boffin,http://lotr.wikia.com//wiki/Folco_Boffin,lotr
5cd99d4bde30eff6ebccfc42,,Hobbit,Female,TA 2904,Adalbert Bolger,TA 3004,,,Gerda (Boffin) Bolger,http://lotr.wikia.com//wiki/Gerda_(Boffin)_Bolger,lotr
5cd99d4bde30eff6ebccfc43,,Hobbit,Male,TA 2946,Daisy Baggins,,,,Griffo Boffin,http://lotr.wikia.com//wiki/Griffo_Boffin,lotr
5cd99d4bde30eff6ebccfc44,,Hobbit,Male,TA 2854,Donnamira Took,TA 2945,,,Hugo Boffin,http://lotr.wikia.com//wiki/Hugo_Boffin,lotr
5cd99d4bde30eff6ebccfc45,,Hobbit,Female,"Late ,Third Age",Buffo Boffin,Late Third Age,,,Ivy (Goodenough) Boffin,http://lotr.wikia.com//wiki/Ivy_(Goodenough)_Boffin,lotr
5cd99d4bde30eff6ebccfc46,,Hobbit,Male,TA 2769,None,,,,Basso Boffin,http://lotr.wikia.com//wiki/Basso_Boffin,lotr
5cd99d4bde30eff6ebccfc47,,Hobbit,Male,TA 2812,Lavender Grubb,TA 2900,,,Otto Boffin,http://lotr.wikia.com//wiki/Otto_Boffin,lotr
5cd99d4bde30eff6ebccfc48,,Hobbit,Male,TA 2860,Lavender Grubb,,,,Rollo Boffin,http://lotr.wikia.com//wiki/Rollo_Boffin,lotr
5cd99d4bde30eff6ebccfc49,,Hobbit,Male,TA 2988,,"Early-,Fourth Age",,,Tosto Boffin,http://lotr.wikia.com//wiki/Tosto_Boffin,lotr
5cd99d4bde30eff6ebccfc4a,,Hobbit,,,,,,,Vigo Boffin,http://lotr.wikia.com//wiki/Vigo_Boffin,lotr
5cd99d4bde30eff6ebccfc4b,,Hobbit,Female,"before ,TA 2860",Rollo Boffin,,,,Druda Burrows Boffin,http://lotr.wikia.com//wiki/Druda_Burrows_Boffin,lotr
5cd99d4bde30eff6ebccfc4c,,Hobbit,Male,TA 2942,Poppy Chubb-Baggins,FO 22,,Brown (movie),Filibert Bolger,http://lotr.wikia.com//wiki/Filibert_Bolger,lotr
5cd99d4bde30eff6ebccfc4d,,Hobbit,Male,TA 2980,"unknown, possibly unmarried","Early ,Fourth Age",,,Fredegar Bolger,http://lotr.wikia.com//wiki/Fredegar_Bolger,lotr
5cd99d4bde30eff6ebccfc4e,,Hobbit,Female,TA 2897,Herugar Bolger,"Late ,Third Age",,,Jessamine (Boffin) Bolger,http://lotr.wikia.com//wiki/Jessamine_(Boffin)_Bolger,lotr
5cd99d4bde30eff6ebccfc4f,,Dwarf,Male,TA 2843,,,,Dark Brown (films),Bofur,http://lotr.wikia.com//wiki/Bofur,lotr
5cd99d4bde30eff6ebccfc50,,Hobbit,Male,TA 2935,Rosamunda Took,FO 10,,,Odovacar Bolger,http://lotr.wikia.com//wiki/Odovacar_Bolger,lotr
5cd99d4bde30eff6ebccfc51,,Hobbit,Female,TA 2938,Odovacar Bolger,,,,Rosamunda (Took) Bolger,http://lotr.wikia.com//wiki/Rosamunda_(Took)_Bolger,lotr
5cd99d4bde30eff6ebccfc52,,Hobbit,Male,TA 2894,Unnamed wife,TA 2986,,,Jago Boffin,http://lotr.wikia.com//wiki/Jago_Boffin,lotr
5cd99d4bde30eff6ebccfc53,,Hobbit,Male,"Late ,Third Age",Ivy Goodenough,"Late ,Third Age",,,Buffo Boffin,http://lotr.wikia.com//wiki/Buffo_Boffin,lotr
5cd99d4bde30eff6ebccfc54,,Dwarf,Male,TA 2834,,,,Ginger,Bombur,http://lotr.wikia.com//wiki/Bombur,lotr
5cd99d4bde30eff6ebccfc55,,Human,Male,"Late ,First Age",Unnamed wife,FA 473,,,Borlad,http://lotr.wikia.com//wiki/Borlad,lotr
5cd99d4bde30eff6ebccfc56,,Human,Male,TA 3011,Unnamed wife,,,,Borlas,http://lotr.wikia.com//wiki/Borlas,lotr
5cd99d4bde30eff6ebccfc57,,Human,Male,TA 2978,,"February 26 ,3019",,Dark (book) Light brown (movie),Boromir,http://lotr.wikia.com//wiki/Boromir,lotr
5cd99d4bde30eff6ebccfc58,,Human,Male,FA 338,Unnamed wife,FA 432,,,Boromir (House of Bëor),http://lotr.wikia.com//wiki/Boromir_(House_of_B%C3%ABor),lotr
5cd99d4bde30eff6ebccfc59,,Human,Male,TA 2410,Unnamed wife,TA 2489,,,Boromir (Steward),http://lotr.wikia.com//wiki/Boromir_(Steward),lotr
5cd99d4bde30eff6ebccfc5a,,Hobbit,Male,TA 2904,Prisca Baggins,TA 3000,,,Wilibald Bolger,http://lotr.wikia.com//wiki/Wilibald_Bolger,lotr
5cd99d4bde30eff6ebccfc5b,,Human,Male,"Late ,Third Age",,"April 15 ,2510",,,Borondir,http://lotr.wikia.com//wiki/Borondir,lotr
5cd99d4bde30eff6ebccfc5c,,Human,Male,"Late ,First Age",,FA 473,,,Borthand,http://lotr.wikia.com//wiki/Borthand,lotr
5cd99d4bde30eff6ebccfc5d,,Hobbit,Male,TA 2865,Primrose Boffin,,,,Blanco Bracegirdle,http://lotr.wikia.com//wiki/Blanco_Bracegirdle,lotr
