name,height_in,gender,birth_year,birth_age,death_year,death_age,years_alive,hair,series
Anghara,NA,Female,NA,NA,NA,NA,NA,NA,wot
Angharad Juerissen,NA,Female,NA,NA,NA,NA,NA,NA,wot
Angla,NA,Female,NA,NA,NA,NA,NA,NA,wot
Clarine Anhill,NA,Female,NA,NA,NA,NA,NA,NA,wot
Anlee,NA,Female,NA,NA,NA,NA,NA,Gray,wot
Annah,NA,Female,NA,NA,1000,NE,NA,NA,wot
Gulaeve Annallin,NA,Female,NA,NA,NA,NA,NA,NA,wot
Fionnda Annariz,NA,Female,NA,NA,NA,NA,NA,NA,wot
Karind Anshar,NA,Female,NA,NA,NA,NA,NA,Dark,wot
Meka Antos,NA,Female,NA,NA,NA,NA,NA,NA,wot
Anya,NA,Female,NA,NA,NA,NA,NA,NA,wot
Aran'gar,NA,Female,NA,NA,1000,NE,NA,Black,wot
Balladare Arandaille,NA,Female,NA,NA,142,NE,NA,NA,wot
Naean Arawn,NA,Female,NA,NA,NA,NA,NA,Dark,wot
Arebis,NA,Female,NA,NA,NA,NA,NA,NA,wot
Amellia Arene,NA,Female,NA,NA,NA,NA,NA,Gray,wot
Cecilia Arens,NA,Female,NA,NA,NA,NA,NA,NA,wot
Meilyn Arganya,NA,Female,NA,NA,979,NE,NA,Silver,wot
Lyrelle Arienwin,NA,Female,833,NE,NA,NA,NA,NA,wot
Arlene,NA,Female,NA,NA,NA,NA,NA,NA,wot
Chilares Arman,NA,Female,NA,NA,NA,NA,NA,NA,wot
Laigin Arnault,NA,Female,NA,NA,999,NE,NA,NA,wot
Rahema Arnon,NA,Female,NA,NA,NA,NA,NA,NA,wot
Racelle Arovni,NA,Female,NA,NA,NA,NA,NA,Gray,wot
Arrata,NA,Female,NA,NA,NA,NA,NA,NA,wot
Edeyn ti Gemallen Arrel,NA,Female,934,NE,NA,NA,NA,Black,wot
Iselle Arrel,NA,Female,NA,NA,979,NE,NA,Black,wot
Catlynde Artein,NA,Female,NA,NA,NA,NA,NA,NA,wot
Deane Aryman,NA,Female,920,FY,1084,FY,164,NA,wot
Ashelin,NA,Female,NA,NA,NA,NA,NA,NA,wot
Mistress Asher,NA,Female,NA,NA,NA,NA,NA,Gray,wot
Ashmanaille,NA,Female,902,NE,NA,NA,NA,Dark,wot
Iona Ashmar,NA,Female,NA,NA,NA,NA,NA,NA,wot
Saerin Asnobar,NA,Female,781,NE,NA,NA,NA,Dark,wot
Asseil,NA,Female,NA,NA,NA,NA,NA,NA,wot
Astara,NA,Female,NA,NA,NA,NA,NA,NA,wot
Astrelle,NA,Female,NA,NA,NA,NA,NA,NA,wot
Atuan,NA,Female,NA,NA,NA,NA,NA,NA,wot
Shiaine Avarhin,NA,Female,NA,NA,NA,NA,NA,NA,wot
Einion Avharin,NA,Female,NA,NA,NA,NA,NA,NA,wot
Aviellin,NA,Female,NA,NA,NA,NA,NA,NA,wot
Aviendha,69,Female,980,NE,NA,NA,NA,Red,wot
Rhea Avin,NA,Female,NA,NA,NA,NA,NA,Dark,wot
Adora Aybara,NA,Female,983,NE,999,NE,16,NA,wot
Adora Aybara (granddaughter of Perrin),NA,Female,NA,NA,NA,NA,NA,NA,wot
Deselle Aybara,NA,Female,988,NE,999,NE,11,NA,wot
Joslyn Aybara,NA,Female,NA,NA,999,NE,NA,NA,wot
Magde Aybara,NA,Female,NA,NA,999,NE,NA,NA,wot
Faile Bashere,65,Female,981,NE,NA,NA,NA,Black,wot
Lara Ayellan,NA,Female,NA,NA,NA,NA,NA,NA,wot
Corin Ayellin,NA,Female,NA,NA,NA,NA,NA,Gray,wot
Larine Ayellin,NA,Female,981,NE,NA,NA,NA,NA,wot
Marisa Ayellin,NA,Female,NA,NA,NA,NA,NA,NA,wot
Milli Ayellin,NA,Female,NA,NA,NA,NA,NA,NA,wot
Neysa Ayellin,NA,Female,NA,NA,NA,NA,NA,Gray,wot
Sari Ayellin,NA,Female,NA,NA,NA,NA,NA,NA,wot
Malena Aylar,NA,Female,NA,NA,NA,NA,NA,NA,wot
Yurith Azeri,NA,Female,NA,NA,NA,NA,NA,NA,wot
Azril,NA,Female,NA,NA,NA,NA,NA,NA,wot
Azzara din Karak,NA,Female,NA,NA,NA,NA,NA,NA,wot
Edesina Azzedin,NA,Female,NA,NA,NA,NA,NA,Black,wot
Baellin,NA,Female,NA,NA,NA,NA,NA,NA,wot
Baelome,NA,Female,NA,NA,NA,NA,NA,NA,wot
Baerin,NA,Female,NA,NA,NA,NA,NA,NA,wot
Sereille Bagand,NA,Female,586,NE,890,NE,304,NA,wot
Martna Baily,NA,Female,NA,NA,NA,NA,NA,NA,wot
Bain,68,Female,981,NE,NA,NA,NA,Red,wot
Bair,NA,Female,NA,NA,NA,NA,NA,White,wot
Covarla Baldene,NA,Female,919,NE,NA,NA,NA,NA,wot
Ballair,NA,Female,NA,NA,NA,NA,NA,NA,wot
Jenare Balmaen,NA,Female,NA,NA,NA,NA,NA,NA,wot
Jala Bandevin,NA,Female,NA,NA,NA,NA,NA,Gray,wot
Teslyn Baradon,NA,Female,870,NE,NA,NA,NA,NA,wot
Barashelle,NA,Female,NA,NA,NA,NA,NA,NA,wot
Barasine,NA,Female,NA,NA,NA,NA,NA,NA,wot
Narenwin Barda,NA,Female,913,NE,NA,NA,NA,NA,wot
Doral Barran,NA,Female,NA,NA,NA,NA,NA,White,wot
Hilde Barran,NA,Female,NA,NA,NA,NA,NA,NA,wot
Aleis Barsalla,NA,Female,NA,NA,NA,NA,NA,White,wot
Aedelle Baryn,NA,Female,NA,NA,NA,NA,NA,NA,wot
Duhara Basaheen,NA,Female,764,NE,1000,NE,236,NA,wot
Deira Bashere,NA,Female,NA,NA,NA,NA,NA,White,wot
N'Delia Basolaine,NA,Female,NA,NA,NA,NA,NA,NA,wot
Adelorna Bastine,63,Female,796,NE,NA,NA,NA,Dark,wot
Sheriam Bayanar,NA,Female,953,NE,1000,NE,47,Red,wot
Velina Behar,NA,Female,859,NE,NA,NA,NA,NA,wot
Beira,NA,Female,NA,NA,NA,NA,NA,NA,wot
Belairah,NA,Female,NA,NA,NA,NA,NA,NA,wot
Beldair,NA,Female,NA,NA,NA,NA,NA,Gray,wot
Beldemaine,NA,Female,NA,NA,NA,NA,NA,Silver,wot
Belinde,NA,Female,NA,NA,NA,NA,NA,White,wot
Nan Belman,NA,Female,NA,NA,NA,NA,NA,NA,wot
Meralda Belmondes,NA,Female,NA,NA,NA,NA,NA,NA,wot
Kaila Bent,NA,Female,NA,NA,NA,NA,NA,NA,wot
Beralna,NA,Female,NA,NA,NA,NA,NA,Red,wot
Myrelle Berengari,NA,Female,954,NE,NA,NA,NA,Dark,wot
Felaana Bevaine,NA,Female,NA,NA,NA,NA,NA,Yellow,wot
Bharatine,NA,Female,921,NE,NA,NA,NA,NA,wot
Ivonell Bharatiya,NA,Female,NA,NA,NA,NA,NA,NA,wot
Falion Bhoda,NA,Female,NA,NA,1000,NE,NA,Dark,wot
Nesune Bihara,NA,Female,826,NE,NA,NA,NA,Dark,wot
Jesse Bilal,NA,Female,752,NE,NA,NA,NA,NA,wot
Blaes of Matuchin,NA,Female,NA,NA,NA,NA,NA,NA,wot
Elandria Borndat,NA,Female,NA,NA,NA,NA,NA,NA,wot
Erian Boroleos,NA,Female,951,NE,NA,NA,NA,Black,wot
Arilinde Branstrom,NA,Female,NA,NA,NA,NA,NA,NA,wot
Gabrelle Brawley,65,Female,902,NE,NA,NA,NA,Brown,wot
Silviana Brehon,NA,Female,849,NE,NA,NA,NA,Dark,wot
Brendas,NA,Female,946,NE,NA,NA,NA,NA,wot
Briain,NA,Female,NA,NA,1000,NE,NA,NA,wot
Bromas,NA,Female,NA,NA,NA,NA,NA,NA,wot
Brune,NA,Female,NA,NA,NA,NA,NA,NA,wot
Buad of Albhain,NA,Female,NA,NA,NA,NA,NA,NA,wot
Adrinne Bunt,NA,Female,NA,NA,NA,NA,NA,NA,wot
Joiya Byir,NA,Female,828,NE,999,NE,171,Dark,wot
Mitsora Caal,NA,Female,NA,NA,NA,NA,NA,NA,wot
Miedelle Caeren,NA,Female,NA,NA,970,NE,NA,NA,wot
Sylvase Caeren,64,Female,NA,NA,NA,NA,NA,NA,wot
Jeaine Caide,NA,Female,912,NE,1000,NE,88,Dark,wot
Caiden,NA,Female,NA,NA,NA,NA,NA,NA,wot
Caira,NA,Female,NA,NA,NA,NA,NA,NA,wot
Cairen,NA,Female,NA,NA,NA,NA,NA,NA,wot
Calder,NA,Female,NA,NA,NA,NA,NA,NA,wot
Calian the Chooser,NA,Female,NA,NA,NA,NA,NA,NA,wot
Calindin,NA,Female,960,NE,NA,NA,NA,Black,wot
Yasicca Cellaech,NA,Female,NA,NA,NA,NA,NA,NA,wot
Callie,NA,Female,NA,NA,1000,NE,NA,NA,wot
Renaile din Calon Blue Star,NA,Female,NA,NA,NA,NA,NA,Dark,wot
Marithelle Camaelaine,NA,Female,NA,NA,NA,NA,NA,NA,wot
Naorisa Cambral,NA,Female,NA,NA,NA,NA,NA,NA,wot
Sheraine Caminelle,NA,Female,NA,NA,NA,NA,NA,Dark,wot
Danine Candraed,NA,Female,NA,NA,NA,NA,NA,NA,wot
Darea Candwin,NA,Female,NA,NA,NA,NA,NA,NA,wot
Adine Canford,NA,Female,905,NE,NA,NA,NA,Black,wot
Cara,NA,Female,NA,NA,NA,NA,NA,NA,wot
Carahuin,NA,Female,NA,NA,NA,NA,NA,NA,wot
Caralin,NA,Female,NA,NA,NA,NA,NA,NA,wot
Aemlyn Carand,NA,Female,NA,NA,NA,NA,NA,Gray,wot
Caredwain,NA,Female,NA,NA,NA,NA,NA,NA,wot
Careen,NA,Female,NA,NA,NA,NA,NA,NA,wot
Carelle,NA,Female,NA,NA,NA,NA,NA,NA,wot
Carenna,NA,Female,NA,NA,NA,NA,NA,NA,wot
Carin,NA,Female,NA,NA,NA,NA,NA,NA,wot
Boreane Carivin,NA,Female,NA,NA,NA,NA,NA,NA,wot
Carlya,NA,Female,NA,NA,NA,NA,NA,NA,wot
Carlys,NA,Female,NA,NA,NA,NA,NA,Gray,wot
Aravine Carnel,NA,Female,NA,NA,NA,NA,NA,NA,wot
Endara Casalain,NA,Female,NA,NA,NA,NA,NA,NA,wot
Ishara Casalain,NA,Female,NA,NA,1020,FY,NA,NA,wot
Galina Casban,NA,Female,875,NE,NA,NA,NA,Black,wot
Salindi Casolan,NA,Female,NA,NA,NA,NA,NA,NA,wot
Romanda Cassin,NA,Female,726,NE,1000,NE,274,Gray,wot
Catrine,NA,Female,NA,NA,NA,NA,NA,NA,wot
Catrona,NA,Female,NA,NA,NA,NA,NA,NA,wot
Bodewhin Cauthon,NA,Female,983,NE,NA,NA,NA,NA,wot
Eldrin Cauthon,NA,Female,984,NE,NA,NA,NA,NA,wot
Natti Cauthon,NA,Female,956,NE,NA,NA,NA,NA,wot
Cavandra,NA,Female,NA,NA,NA,NA,NA,NA,wot
Merilille Ceandevin,NA,Female,827,NE,NA,NA,NA,Black,wot
Cedora,NA,Female,NA,NA,NA,NA,NA,NA,wot
Celebrain,NA,Female,NA,NA,NA,NA,NA,NA,wot
Cerandin,NA,Female,NA,NA,NA,NA,NA,NA,wot
Sillia Cerano,NA,Female,NA,NA,NA,NA,NA,NA,wot
Ceri,NA,Female,NA,NA,NA,NA,NA,NA,wot
Cerindra,NA,Female,NA,NA,NA,NA,NA,NA,wot
Cerist,NA,Female,NA,NA,NA,NA,NA,NA,wot
Milisair Chadmar,NA,Female,NA,NA,NA,NA,NA,Dark,wot
Chaelin,NA,Female,NA,NA,NA,NA,NA,Gray,wot
Kirstian Chalwin,NA,Female,680,NE,NA,NA,NA,NA,wot
Taval din Chanai Nine Gulls,NA,Female,NA,NA,NA,NA,NA,NA,wot
Charral,NA,Female,NA,NA,NA,NA,NA,Gray,wot
Chenda,NA,Female,NA,NA,NA,NA,NA,NA,wot
Chesa,NA,Female,NA,NA,NA,NA,NA,Dark,wot
Chiad,67,Female,981,NE,NA,NA,NA,Red,wot
Chiape,NA,Female,NA,NA,NA,NA,NA,NA,wot
Chiarid,NA,Female,NA,NA,NA,NA,NA,NA,wot
Mistress Cinchonine,NA,Female,NA,NA,NA,NA,NA,NA,wot
Chion,NA,Female,NA,NA,NA,NA,NA,NA,wot
Chulein,NA,Female,NA,NA,NA,NA,NA,NA,wot
Alaine Chuliandred,NA,Female,NA,NA,NA,NA,NA,NA,wot
Alesune Chulin,NA,Female,NA,NA,NA,NA,NA,Black,wot
Shein Chunla,NA,Female,NA,NA,651,NE,NA,NA,wot
Chuonde,NA,Female,NA,NA,1000,NE,NA,NA,wot
Ciar,NA,Female,NA,NA,NA,NA,NA,NA,wot
Ciel,NA,Female,NA,NA,NA,NA,NA,NA,wot
Cinda,NA,Female,NA,NA,NA,NA,NA,NA,wot
Rafela Cindal,NA,Female,948,NE,NA,NA,NA,Dark,wot
Clara,NA,Female,NA,NA,NA,NA,NA,NA,wot
Clare,NA,Female,NA,NA,NA,NA,NA,NA,wot
Jennet Cobb,64,Female,NA,NA,NA,NA,NA,Red,wot
Coedelin,NA,Female,NA,NA,NA,NA,NA,NA,wot
Nirelle Coidevwin,NA,Female,NA,NA,419,NE,NA,NA,wot
Coladara,NA,Female,NA,NA,NA,NA,NA,NA,wot
Cilia Cole,NA,Female,979,NE,NA,NA,NA,NA,wot
Lusonia Cole,NA,Female,NA,NA,NA,NA,NA,NA,wot
Deni Colford,NA,Female,NA,NA,NA,NA,NA,Gray,wot
Colinda,NA,Female,NA,NA,NA,NA,NA,NA,wot
Coline,NA,Female,NA,NA,NA,NA,NA,NA,wot
Collaris,NA,Female,NA,NA,NA,NA,NA,NA,wot
Colline,NA,Female,NA,NA,NA,NA,NA,NA,wot
Serancha Colvine,NA,Female,835,NE,NA,NA,NA,Brown,wot
Comaelle,NA,Female,NA,NA,NA,NA,NA,NA,wot
Shahal Comanli,62,Female,800,NE,NA,NA,NA,NA,wot
Akarrin Comeris,NA,Female,801,NE,NA,NA,NA,NA,wot
Daise Congar,NA,Female,NA,NA,NA,NA,NA,NA,wot
Althyn Conly,NA,Female,NA,NA,NA,NA,NA,NA,wot
Raechin Connoral,NA,Female,NA,NA,NA,NA,NA,Dark,wot
Viria Connoral,NA,Female,NA,NA,NA,NA,NA,Dark,wot
Myriam Copan,NA,Female,NA,NA,797,NE,NA,NA,wot
Calle Coplin,NA,Female,NA,NA,NA,NA,NA,NA,wot
Corana,NA,Female,NA,NA,NA,NA,NA,Gray,wot
Corehuin,NA,Female,NA,NA,NA,NA,NA,NA,wot
Corelna,NA,Female,NA,NA,NA,NA,NA,Gray,wot
Corida,NA,Female,NA,NA,NA,NA,NA,NA,wot
Coride,NA,Female,982,NE,NA,NA,NA,NA,wot
Aril Corl,NA,Female,NA,NA,NA,NA,NA,NA,wot
Reanne Corly,NA,Female,588,NE,1000,NE,412,Gray,wot
Mirlene Cornwell,NA,Female,NA,NA,1000,NE,NA,NA,wot
Dimana Corrand,NA,Female,NA,NA,NA,NA,NA,Red,wot
Corvila,NA,Female,NA,NA,NA,NA,NA,NA,wot
Cosain,NA,Female,NA,NA,NA,NA,NA,Yellow,wot
Coura,NA,Female,NA,NA,NA,NA,NA,NA,wot
Courtani,NA,Female,NA,NA,NA,NA,NA,NA,wot
Sahra Covenry,NA,Female,984,NE,999,NE,15,Black,wot
Covril,NA,Female,NA,NA,NA,NA,NA,NA,wot
Cowinde,NA,Female,NA,NA,NA,NA,NA,NA,wot
Melli Craeb,NA,Female,NA,NA,NA,NA,NA,Auburn,wot
Alamindra Cutren,NA,Female,NA,NA,NA,NA,NA,NA,wot
Cynd,NA,Female,NA,NA,NA,NA,NA,NA,wot
Cyndane,NA,Female,NA,NA,NA,NA,NA,Silver,wot
Cyprien,NA,Female,NA,NA,NA,NA,NA,NA,wot
Theodrin Dabei,NA,Female,966,NE,NA,NA,NA,NA,wot
Zerah Dacan,NA,Female,928,NE,NA,NA,NA,Black,wot
Nisao Dachen,NA,Female,821,NE,NA,NA,NA,NA,wot
Mistress Daelvin,NA,Female,NA,NA,NA,NA,NA,NA,wot
Dagendra,NA,Female,NA,NA,NA,NA,NA,NA,wot
Dailin,NA,Female,NA,NA,999,NE,NA,Red,wot
Sedore Dajenna,NA,Female,813,NE,1000,NE,187,Dark,wot
Dalar,NA,Female,NA,NA,NA,NA,NA,NA,wot
Dalevien,NA,Female,NA,NA,NA,NA,NA,Dark,wot
Dali,NA,Female,NA,NA,NA,NA,NA,Yellow,wot
Medore Damara,NA,Female,981,NE,NA,NA,NA,NA,wot
Damelle,NA,Female,NA,NA,NA,NA,NA,NA,wot
Anvaere Damodred,NA,Female,NA,NA,NA,NA,NA,NA,wot
Caraline Damodred,63,Female,NA,NA,NA,NA,NA,Black,wot
Carewin Damodred,NA,Female,NA,NA,NA,NA,NA,NA,wot
Innloine Damodred,NA,Female,NA,NA,NA,NA,NA,NA,wot
Moiraine Damodred,NA,Female,956,NE,NA,NA,NA,Brown,wot
Ludice Daneen,NA,Female,NA,NA,979,NE,NA,NA,wot
Danelle,NA,Female,NA,NA,NA,NA,NA,NA,wot
Dani,NA,Female,NA,NA,NA,NA,NA,NA,wot
Dara,NA,Female,NA,NA,NA,NA,NA,NA,wot
Selande Darengil,63,Female,NA,NA,NA,NA,NA,Dark,wot
Innina Darenhold,NA,Female,NA,NA,NA,NA,NA,NA,wot
Faiselle Darone,NA,Female,829,NE,NA,NA,NA,NA,wot
Magla Daronos,NA,Female,839,NE,NA,NA,NA,NA,wot
Darvale,NA,Female,NA,NA,NA,NA,NA,White,wot
Daviena,NA,Female,NA,NA,NA,NA,NA,Yellow,wot
Annabelle DaVoren,NA,Female,NA,NA,NA,NA,NA,NA,wot
Issa DaVoren,NA,Female,NA,NA,NA,NA,NA,NA,wot
Melfane Dawlish,NA,Female,NA,NA,NA,NA,NA,NA,wot
Deain,NA,Female,NA,NA,NA,NA,NA,NA,wot
Dealda,NA,Female,NA,NA,NA,NA,NA,NA,wot
Kara Defane,NA,Female,NA,NA,NA,NA,NA,NA,wot
Deindre,NA,Female,NA,NA,NA,NA,NA,NA,wot
Deirdru,NA,Female,NA,NA,NA,NA,NA,NA,wot
Deladrin,NA,Female,NA,NA,NA,NA,NA,NA,wot
Cetalia Delarme,NA,Female,NA,NA,NA,NA,NA,Gray,wot
Delora,NA,Female,NA,NA,NA,NA,NA,NA,wot
Ines Demain,NA,Female,NA,NA,NA,NA,NA,NA,wot
Parenia Demalle,NA,Female,NA,NA,866,NE,NA,NA,wot
Nelavaire Demasiellin,NA,Female,850,NE,NA,NA,NA,NA,wot
Dena,NA,Female,NA,NA,998,NE,NA,Dark,wot
Takima Deraighdin,61,Female,844,NE,NA,NA,NA,Black,wot
Desaine,NA,Female,NA,NA,999,NE,NA,Gray,wot
Desora,NA,Female,NA,NA,999,NE,NA,Golden,wot
Cathal Devore,69,Female,942,NE,NA,NA,NA,Brown,wot
Kumira Dhoran,NA,Female,NA,NA,1000,NE,NA,NA,wot
Arilyn Dhulaine,NA,Female,NA,NA,NA,NA,NA,NA,wot
Lirene Doirellin,NA,Female,820,NE,NA,NA,NA,NA,wot
Dolera Mantear,NA,Female,NA,NA,964,NA,NA,NA,wot
Rasoria Domanche,NA,Female,NA,NA,NA,NA,NA,Yellow,wot
Domeille,NA,Female,NA,NA,NA,NA,NA,Gray,wot
Mashera Donavelle,NA,Female,NA,NA,NA,NA,NA,NA,wot
Dorailla,NA,Female,NA,NA,NA,NA,NA,NA,wot
Javindhra Doraille,NA,Female,842,NE,NA,NA,NA,NA,wot
Berowin Doraisin,NA,Female,NA,NA,NA,NA,NA,NA,wot
Dorele,NA,Female,NA,NA,NA,NA,NA,NA,wot
Silene Dorelmin,NA,Female,NA,NA,NA,NA,NA,NA,wot
Dorindha (Far Dareis Mai),NA,Female,NA,NA,NA,NA,NA,NA,wot
Dorindha (Roofmistress),NA,Female,NA,NA,NA,NA,NA,Red,wot
Ilain Dormaile,NA,Female,NA,NA,NA,NA,NA,Gray,wot
Dosera,NA,Female,NA,NA,1000,NE,NA,NA,wot
Norine Dovarna,NA,Female,NA,NA,NA,NA,NA,NA,wot
Jara Doweel,NA,Female,NA,NA,NA,NA,NA,NA,wot
Suana Dragand,NA,Female,NA,NA,NA,NA,NA,NA,wot
Druu,NA,Female,NA,NA,NA,NA,NA,NA,wot
Meashan Dubaris,NA,Female,NA,NA,1000,NE,NA,NA,wot
Dunsinin,NA,Female,NA,NA,NA,NA,NA,NA,wot
Alind Dyfelle,NA,Female,NA,NA,NA,NA,NA,NA,wot
Dyrele,NA,Female,NA,NA,NA,NA,NA,NA,wot
Eadyth,NA,Female,NA,NA,NA,NA,NA,White,wot
Ealsin,NA,Female,NA,NA,999,NE,NA,NA,wot
Echiko,NA,Female,NA,NA,NA,NA,NA,NA,wot
Edarra,NA,Female,NA,NA,NA,NA,NA,Fair,wot
Caren Endelle,NA,Female,NA,NA,NA,NA,NA,NA,wot
Efalin,NA,Female,NA,NA,NA,NA,NA,Gray,wot
Egoridin,NA,Female,NA,NA,NA,NA,NA,NA,wot
Celestin Eguilera,NA,Female,960,NE,NA,NA,NA,Black,wot
Ehvon,NA,Female,NA,NA,NA,NA,NA,NA,wot
